Momentum Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
COA-L,-0.025862068965517238,-0.049180327868852514,-0.05691056910569103,-0.17142857142857137,-0.275,-0.2773999840365817,-0.32041188974868995,-0.2773999840365817,-0.2388613165185326,-0.2388613165185326,-0.17267534404188345,-0.22857565863364804,-0.12176305752138383,-0.17267534404188345,-0.06417374981786805,-0.06417374981786805,-0.1605088049836758,-0.10804060529515558,-0.11557837876299237,-0.23422030356307866,-0.2150758111521558,-0.12786201239128414,-0.17376401173911127,-0.15143330935368182,-0.0765597778260656,-0.16274753189563262,-0.16274753189563262,-0.01884476394019463,0.1016479843478515,0.12132026978263455,-0.03393945987957614,0.19091933984962295,0.25587857656869306,0.5349627046950696,0.1323495362504612,-0.027136313925660183,0.1323495362504612,0.015784142812913737,-0.23251864765246522,-0.3228105714580576,-0.30926678288721876,-0.33583344508386415,-0.41955191839262085,-0.4155334901204514,-0.3872528525456346,-0.4155334901204514,-0.34499442858326457,-0.4287169452305164,-0.4199950665317457
SOM-L,0.0,0.0,0.0,0.0,-0.33333333333333337,-0.33333333333333337,-0.5454545454545454,-0.5789473684210527,-0.5652173913043479,-0.574468085106383,-0.5833333333333334,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.4736842105263158,-0.4736842105263158,-0.4736842105263158,-0.4736842105263158,-0.5,-0.2592592592592593,-0.31034482758620696,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.45945945945945943,-0.5348837209302326,-0.45945945945945943,-0.4285714285714286,-0.4285714285714286,-0.4444444444444444,-0.45945945945945943,-0.43661971830985913,-0.452054794520548,-0.4444444444444444,-0.1304347826086958,-0.19999999999999996,-0.5555555555555556,-0.6923076923076923,-0.7674418604651163,-0.7674418604651163,-0.8058252427184466,-0.8214285714285714,-0.8823529411764706,-0.8924731182795699,-0.8823529411764706,-0.8870056497175142,-0.8907103825136612,-0.8941798941798942
BPM-L,0.0,0.011299435028248705,0.017045454545454586,0.04678362573099437,-0.011049723756905938,-0.04278074866310155,-0.005555555555555536,-0.06770833333333337,-0.05789473684210522,-0.06770833333333337,-0.03243243243243232,-0.04787234042553179,-0.08205128205128198,0.011299435028248705,-0.011049723756905938,-0.03243243243243232,-0.021857923497267784,-0.07253886010362698,0.034682080924855585,-0.05291005291005291,-0.05291005291005291,-0.04278074866310155,-0.03243243243243232,0.034682080924855585,0.011299435028248705,-0.08205128205128198,0.1548387096774193,0.14012738853503204,0.09815950920245409,0.028735632183908066,-0.021857923497267784,0.3065693430656933,0.7378640776699028,0.7378640776699028,0.5565217391304349,0.5701754385964912,0.12578616352201255,-0.011049723756905938,-0.005555555555555536,-0.08673469387755106,-0.13942307692307687,-0.2510460251046025,-0.2839999999999999,-0.28685258964143423,-0.23175965665236042,-0.2350427350427351,-0.24152542372881347,-0.27235772357723576,-0.2603305785123967
CYAN-L,-0.4342105263157895,0.32173913043478275,0.2991452991452992,0.16030534351145032,0.10948905109489049,-0.11627906976744184,-0.031847133757961665,-0.13142857142857134,-0.23999999999999988,-0.3391304347826086,-0.42641509433962255,-0.21243523316062174,-0.13142857142857134,-0.2205128205128205,-0.15555555555555556,-0.07878787878787874,-0.3391304347826086,0.17829457364341073,-0.019354838709677358,-0.4039215686274509,-0.4666666666666667,-0.5777777777777777,-0.6151898734177215,-0.6,-0.6292682926829268,-0.6622222222222222,-0.6622222222222222,-0.7211009174311926,-0.6423529411764706,-0.6199999999999999,-0.5393939393939393,-0.392,-0.3090909090909091,0.7882352941176469,0.21599999999999997,0.08571428571428563,-0.3244444444444443,-0.3244444444444443,-0.3244444444444443,-0.4933333333333333,-0.392,-0.7661538461538462,-0.84,-0.8517073170731707,-0.8933333333333333,-0.7568,-0.84,-0.8759183673469387,-0.8874074074074074
HVT-L,0.0,0.0,0.0,0.0,0.0,-0.007692307692307665,-0.007692307692307665,-0.007692307692307665,-0.007692307692307665,-0.007692307692307665,-0.0444444444444444,-0.07857142857142863,-0.07857142857142863,-0.07857142857142863,-0.10416666666666663,-0.13422818791946312,-0.13422818791946312,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.1103448275862069,-0.16774193548387095,-0.058394160583941646,-0.058394160583941646,-0.058394160583941646,-0.058394160583941646,-0.03731343283582089,0.29000000000000004,0.13157894736842102,-0.12244897959183676,-0.12244897959183676,-0.09154929577464788,-0.32105263157894737,-0.355,-0.5700000000000001,-0.6605263157894736,-0.7,-0.7171052631578947,-0.7094594594594594,-0.7081447963800904,-0.7081447963800904,-0.7081447963800904,-0.7207792207792207,-0.7207792207792207
KEFI-L,0.39655172413793105,0.0265486725663715,-0.12121212121212133,-0.25161290322580654,-0.38297872340425543,-0.4528301886792453,-0.5886524822695036,-0.546875,-0.6568047337278107,-0.5538461538461539,-0.45539906103286387,-0.6768802228412256,-0.3012048192771086,0.18367346938775486,0.901639344262295,2.5151515151515147,3.1428571428571423,3.0,1.7619047619047614,1.3199999999999998,0.657142857142857,0.5466666666666666,0.44999999999999996,0.44999999999999996,0.5466666666666666,0.364705882352941,0.364705882352941,0.364705882352941,0.5466666666666666,0.44999999999999996,0.5466666666666666,1.109090909090909,1.109090909090909,0.7846153846153845,0.9333333333333331,0.9333333333333331,0.44999999999999996,0.05454545454545445,0.05454545454545445,0.008695652173912993,0.05454545454545445,-0.14074074074074083,-0.14074074074074083,-0.20000000000000007,-0.25161290322580654,-0.10769230769230775,0.008695652173912993,-0.20000000000000007,-0.275
JMG-L,0.006737247353224118,-0.003835091083413289,0.07113402061855667,-0.04327808471454875,-0.09730668983492607,-0.13488759367193992,-0.10815450643776814,-0.12615643397813292,-0.14273927392739272,-0.06982990152193369,-0.11649659863945572,-0.18253343823760815,-0.14766201804757995,-0.13416666666666666,-0.12542087542087543,-0.04327808471454875,-0.0076408787010505685,0.08342022940563076,0.032803180914513064,0.02163225172074723,-0.03438661710037161,0.018627450980392313,0.1131347760874224,0.039000000000000146,0.12861177492939402,0.1293478260869565,0.1595982142857144,0.28748451053283763,0.28748451053283763,0.3671052631578948,0.32679060154251927,0.48526836783787597,0.6867401022764521,1.00073568726524,0.8249031140670147,0.6401736577350776,0.9951366135135644,0.7852975373009525,0.5277046069189579,0.25810967628620074,0.2655541122405569,0.2522168909171787,0.10703232385431738,0.12390249589413616,0.2277763775468089,0.18887518048167928,0.20562934029681035,0.09344910515671834,0.19019835820063524
MUL-L,-0.0016572754391780409,0.015483002356108999,0.08058739255014324,-0.047062539481996235,-0.12929292929292935,-0.07539074471345386,0.05785413744740531,-0.016623207301173393,0.08956301914048392,0.24463696369636967,0.1274289985052317,0.5895679662802951,1.186231884057971,1.8065116279069766,2.897932816537468,3.2794326241134755,4.113559322033899,5.233471074380165,6.2698795180722895,6.305084745762712,6.949934123847167,7.834553440702782,8.283076923076923,8.00597014925373,11.623430962343097,13.298578199052132,11.068,13.898765432098765,16.591836734693878,19.95138888888889,24.141666666666666,21.856060606060606,21.26568265682657,20.627240143369175,21.59925093632959,19.248322147651006,20.397163120567377,18.21656050955414,11.948497854077253,9.367697594501719,8.170212765957446,9.192567567567568,8.369565217391305,7.4628330995792425,9.79427549194991,8.428125,7.486638537271448,6.939473684210526,6.412776412776413
CHLV-L,0.0,0.09090909090909083,0.09090909090909083,0.09090909090909083,-0.020408163265306145,-0.040000000000000036,-0.020408163265306145,0.0,0.1428571428571428,0.04347826086956519,0.09090909090909083,0.26315789473684204,0.26315789473684204,0.29729729729729737,0.29729729729729737,0.3913043478260869,0.3913043478260869,0.3913043478260869,0.3913043478260869,0.31506849315068486,0.4545454545454546,0.4545454545454546,0.5,0.4328358208955223,0.41176470588235303,0.5483870967741935,0.29729729729729737,0.7142857142857142,0.4328358208955223,0.5483870967741935,0.6551724137931034,0.7142857142857142,0.8461538461538463,0.7142857142857142,0.41176470588235303,0.41176470588235303,0.41176470588235303,0.1428571428571428,0.1428571428571428,0.11627906976744184,0.11627906976744184,-0.21311475409836067,-0.21311475409836067,-0.2615384615384615,-0.2558139534883721,-0.2558139534883721,-0.28358208955223885,-0.40740740740740744,-0.4181818181818182
SMDS-L,0.03776435045317217,-0.021192705766387543,0.13615560640732238,-0.0574276222116753,-0.14837049742710118,-0.22421875000000002,-0.06364922206506374,-0.07412587412587424,-0.02263779527559051,0.013265306122449028,-0.05112279025322497,-0.03592233009708745,0.031688311688311765,0.1479768786127167,0.2829457364341086,0.42467718794834997,0.37916666666666643,0.6830508474576273,0.6508728179551122,0.5276923076923075,0.44121915820029,0.6332236842105263,0.7924187725631768,0.5824701195219124,0.6717171717171717,0.7224631396357328,0.8423005565862707,1.2568181818181814,1.4824999999999995,2.055384615384615,1.6304635761589403,1.43680981595092,2.894117647058824,1.8887272727272726,1.4670807453416148,1.4747663551401873,2.991959798994975,2.067181467181467,0.8560747663551402,0.5455252918287938,0.7932279909706548,0.882464454976303,0.5306358381502889,0.45228519195612416,0.2297213622291021,0.2091324200913245,0.1716814159292035,-0.055410225921522116,-0.03941958887545349
