,BABJ-L^I00
251,MOPW-L^F00
500,MOPX-L^G09
252,MOQK-L^C04
253,MOQT-L^H04
471,MORA-L^K15
254,MOXX-L
472,MPGF-L^J04
255,MPHH-L^G19
256,MPRA-L^F06
473,MQBT-L^H08
501,MQEN-L
429,MQMH-L
474,MQNP-L^D17
257,MQVH-L
258,MQYR-L
259,MRYM-L
260,MSBY-L
261,MSQY-L
475,MSRS-L^J17
262,MUUZ-L
263,MVFU-L
264,MVWD-L^F18
476,MZSQ-L^H10
430,NAFF-L
265,NAPC-L
266,NENL-L
267,NEQJ-L^A10
268,NETQ-L^A12
538,NETX-L^L12
502,NEUH-L
269,NEYD-L^I10
270,NEZD-L^F10
271,NFKH-L
272,NFOY-L
273,NHJE-L
539,NINQ-L
274,NIRB-L^F22
431,NIVO-L
503,NJJO-L
275,NKLJ-L
276,NKSB-L
277,NKVJ-L
278,NLIY-L
279,NMZF-L
540,NNAK-L
280,NNYI-L^D16
281,NNZU-L^E13
282,NNZV-L^L11
283,NQMH-L^G13
284,NRDM-L^J19
285,NRDT-L^C23
286,NREM-L^A15
287,NRYO-L^I22
288,NSUZ-L
541,NSVB-L^C10
542,NTTC-L^H12
578,NUDC-L^I09
289,NVJ-L^G03
579,NWER-L^J15
543,OADO-L^C16
290,OCFM-L
291,OCKI-L
292,OCRX-L^E21
293,ODLG-L^E23
294,OFJB-L
295,OFQA-L^A23
544,OFQD-L
477,OFUQ-L^I14
296,OFVC-L
297,OFVF-L
545,OFVI-L^C17
298,OFVY-L^I18
299,OGAS-L^I20
300,OHDE-L
301,OIJN-L^H17
478,OIPJ-L^D21
302,OJUL-L^H12
303,OLFI-L
304,OQCK-L
305,OQCN-L^G22
306,OQCT-L
479,OQCY-L^L09
307,OQDD-L^F19
308,OQPO-L
309,OQQB-L^A15
546,OTSG-L^H14
310,OVFJ-L
311,OVJF-L
312,OVJO-L^L19
313,OVJR-L
314,PGUD-L
315,PITO-L^K22
480,PJQH-L^I20
316,PJQS-L^D12
317,PJTO-L^E23
318,PJVI-L^K12
319,PJWZ-L
320,PJXL-L^J12
321,PKCH-L
322,PKGY-L
323,PKHC-L^H17
324,PKHE-L^L12
325,PKHS-L
547,PKHT-L^H21
504,PKHV-L
481,PKIS-L^G09
548,PKJM-L
326,PKJU-L
327,PKJZ-L
328,PKQG-L^L22
329,PLKO-L^I18
330,PLKS-L
331,PLKV-L^B20
432,PLMM-L
332,PLNG-L
549,PLNK-L
550,PLPI-L
333,PLQA-L^E10
334,PMCS-L^E12
551,PMQB-L
433,PNCJ-L^E16
335,PNCM-L
336,PNCS-L
482,PNET-L^K14
337,PNFN-L^B18
483,PNLD-L
338,PNLR-L^B15
552,PNLU-L
339,PNSD-L
340,PNSE-L^F14
484,PNZT-L^K17
341,POFN-L
342,POPF-L
343,POVD-L
344,POXN-L
553,PPBO-L
345,PPQA-L
346,PQAF-L
505,PQFO-L^G17
554,PQGJ-L
485,PQGW-L^F10
580,PQKB-L^B20
434,PQLB-L
347,PQOX-L^B20
348,PQVP-L^I14
486,PRAS-L^E16
487,PRKK-L^G18
349,PRKO-L
350,PRPH-L
351,PRVK-L^H09
555,PTDT-L^I15
352,PTIV-L^J19
353,PTKS-L
354,PTOX-L^H15
355,PTUL-L^H22
356,PUHJ-L^C18
357,PUKG-L
358,PVLX-L
359,PVPW-L
360,PWGA-L^L18
435,PXAW-L
361,PXKU-L
362,QAJT-L
363,QALQ-L
436,QBUW-L^H16
364,QCRG-L^H20
365,QENS-L
366,QEQX-L^C14
556,QEWF-L^F16
367,QEXP-L
368,QEYI-L
369,QFDU-L
370,QFRM-L^I19
371,QGCY-L^I16
372,QGHS-L
373,QGLH-L^L14
374,QGLJ-L
375,QGOW-L^K11
376,QHMY-L^F16
377,QLFT-L
378,QTBX-L
379,QTFR-L
380,QTIO-L
381,QTSB-L
382,QTVX-L
557,QUQH-L^A21
383,QVPA-L
384,QWHL-L^C19
385,QWUA-L
386,QXSY-L
387,QZJK-L
440,RLGF-L
488,RNXJ-L^I17
388,RPSC-L
389,RSVP-L^F16
390,RUJX-L^A20
391,RWFM-L^F23
392,RWND-L
393,RXZS-L
394,RYFA-L^K20
558,RYSQ-L
395,SALT-L^C23
506,SBEW-L^F23
396,SBGU-L
397,SBHC-L
398,SBHJ-L
399,SBMQ-L
400,SBOR-L
401,SBPO-L
437,SCCO-L^L22
559,SCWZ-L
402,SDBE-L
403,SDQD-L^D23
404,SEJR-L
405,SGOT-L
406,SHOD-L
407,SHXI-L^L22
408,SIFK-L
409,SJBO-L
410,SQXE-L
489,TRI-L
411,TSA-L
507,TZE-L
581,UEM-L^F05
412,URC-L^H14
508,VBA-L^C13
413,VHS-L^I04
414,VPT-L
415,WYY-L
416,WZG-L^I01
417,WZX-L
490,XBU-L^L00
438,XDI-L
418,XDS-L
419,XDT-L
420,XEM-L
421,XOC-L
422,XOP-L
