Firm Name,Momentum_1,Long Short
MUZE-L,-0.0756516211061666,0
FUIW-L,-0.0755355129650506,0
SBMQ-L,-0.075,0
FTTO-L,-0.0749354005167958,0
MBBI-L,-0.0746109064987525,0
MXNF-L,-0.0741312741312741,0
FSCW-L,-0.0740740740740741,0
PKCH-L,-0.0740740740740741,0
LLEU-L,-0.073972602739726,0
MOAQ-L,-0.0731514191740773,0
PKIH-L,-0.0727998005484916,0
FUEZ-L,-0.0727470141150924,0
FWCJ-L,-0.0726256983240224,0
FTWV-L,-0.0718654434250763,0
OQCH-L,-0.0714285714285715,0
MOML-L,-0.0714285714285714,0
GCAH-L,-0.0712844653665096,0
FXGP-L,-0.0711688311688311,0
FTDO-L,-0.0709219858156027,0
SJSV-L,-0.0708661417322835,0
BBXK-L,-0.0705882352941176,0
OFQD-L,-0.0701754385964911,0
POVD-L,-0.0699999999999999,0
SHFE-L,-0.0697115384615384,0
FWTX-L,-0.0696473365796075,0
ZUQ-L,-0.0690601900739177,0
FVLD-L,-0.0678325384207737,0
PKJU-L,-0.0676691729323308,0
MUYX-L,-0.067357970215113,0
LKLC-L,-0.066887417218543,0
LTCD-L,-0.0666666666666665,0
SHXI-L^L22,-0.0666666666666665,0
WWA-L,-0.0665644171779141,0
SFEN-L,-0.0662275449101796,0
FTTG-L,-0.0662020905923344,0
LXXV-L,-0.0658682634730538,0
MQZB-L,-0.0654120826095349,0
RWHJ-L,-0.0653235653235652,0
FUQR-L,-0.0645724258289703,0
FWRG-L,-0.0645299145299144,0
ZVG-L,-0.0640459363957597,0
BCZB-L,-0.0639097744360902,0
QZEP-L,-0.0635538261997405,0
SBGU-L,-0.063157894736842,0
QUNF-L,-0.0628113879003559,0
FVSZ-L,-0.0625925925925926,0
LLVM-L,-0.0625,0
ORES-L,-0.0625,0
SNUK-L,-0.0621414913957935,0
FSDX-L,-0.0620393120393121,0
SLEX-L,-0.0614334470989761,0
FSMN-L,-0.0607935153583617,0
MILD-L,-0.0604870384917517,0
FVUA-L,-0.060204081632653,0
FUSD-L,-0.0601503759398496,0
FYZH-L,-0.0601410203235172,0
SMVI-L,-0.0600910470409712,0
LQSJ-L,-0.06,0
QEND-L,-0.0599895670318206,0
QISP-L,-0.0589754215945679,0
QZDJ-L^D23,-0.0588235294117647,0
RPSC-L,-0.0588235294117647,0
SLTQ-L,-0.0588235294117647,0
SODX-L,-0.058636073932441,0
RJX-L,-0.0585585585585586,0
GRAN-L,-0.0583826429980276,0
FUXV-L,-0.0573827851644506,0
FTVW-L,-0.0573687411311575,0
QVLD-L,-0.057142857142857,0
QTGU-L,-0.0568181818181818,0
MIKX-L,-0.0566801619433198,0
PODE-L,-0.0563798219584569,0
NOTP-L,-0.0561728395061728,0
LVKP-L,-0.056047197640118,0
GJWE-L,-0.0555555555555555,0
PKHS-L,-0.0555555555555554,0
FTRX-L,-0.0551470588235295,0
MDVF-L,-0.0549450549450549,0
FVAN-L,-0.053532834580216,0
PNCS-L,-0.0526315789473684,0
SHUW-L,-0.0522388059701492,0
MRYI-L,-0.0513761467889908,0
LWXP-L,-0.0512592005809157,0
FTXZ-L,-0.05122903744544,0
LLJF-L,-0.0511811023622047,0
SEUY-L,-0.0510204081632652,0
MBMW-L,-0.0509554140127388,0
LUPP-L,-0.0508474576271185,0
PTVN-L,-0.0505751891387707,0
SCAZ-L,-0.050314465408805,0
MAWN-L,-0.05,0
PQBC-L,-0.05,0
RYTR-L,-0.0498915401301519,0
MQTZ-L,-0.0498043400924936,0
SEIQ-L,-0.0497842681712579,0
FURL-L,-0.0494590417310664,0
LNUP-L,-0.0493827160493827,0
LMEO-L,-0.0493723849372385,0
SGKR-L,-0.0487804878048779,0
SJJS-L,-0.0487804878048779,0
QBE-L,-0.0480325644504749,0
MQFA-L,-0.0476945016637616,0
FSBO-L,-0.0476190476190475,0
MORB-L,-0.0476190476190475,0
PQGJ-L,-0.0476190476190475,0
SHSX-L,-0.0473328324567994,0
BAJS-L,-0.0472650026553372,0
FVTG-L,-0.046875,0
NVBE-L,-0.046875,0
SHXA-L,-0.0468458876763374,0
MVSV-L,-0.0464632454923716,0
FSJT-L,-0.0456730769230768,0
FSVT-L,-0.0454545454545455,0
SMAS-L,-0.0454545454545455,0
FTCZ-L,-0.0452040931069381,0
SBOV-L,-0.045045045045045,0
NOJL-L,-0.0442748091603053,0
FTZU-L,-0.0441656210790464,0
SOWG-L,-0.0441340782122904,0
LTQX-L^H22,-0.04375,0
FUBX-L,-0.0437235543018335,0
RVTQ-L,-0.0434782608695653,0
MIVB-L,-0.0431535269709544,0
DPXL-L,-0.0428954423592493,0
FTAT-L,-0.0427080037962669,0
FRZX-L,-0.0420841683366733,0
PXEX-L^A23,-0.042042042042042,0
WRU-L,-0.0419438819785942,0
LWLC-L,-0.0418848167539267,0
FUMH-L,-0.0414656153152093,0
OIKK-L,-0.0414201183431951,0
FWPG-L,-0.0413793103448276,0
MUZJ-L,-0.0412307692307691,0
FVMW-L,-0.0411538461538462,0
SGNX-L,-0.0409356725146199,0
FTXV-L,-0.0409295264786595,0
FSHK-L,-0.0403225806451613,0
FZCX-L^B23,-0.04,0
DNDW-L,-0.039695945945946,0
SCJA-L,-0.0389805097451274,0
NAQO-L,-0.0385718061853155,0
FTRM-L,-0.0385714285714284,0
LQZS-L,-0.03815214893128,0
FUAE-L,-0.0378640776699029,0
FUQX-L,-0.0378250591016549,0
FSGT-L,-0.0377358490566037,0
MNWX-L,-0.0374677002583979,0
QVAJ-L,-0.0373066424021838,0
POCK-L,-0.0365997638724912,0
FVIX-L,-0.0365853658536584,0
SDKD-L,-0.036477740733477,0
FVSS-L,-0.0361145703611456,0
FSFM-L,-0.0357142857142857,0
RSXX-L^G22,-0.0353982300884954,0
FUFJ-L,-0.0347848492656531,0
RYEP-L,-0.0344827586206895,0
