firms,clusters,mom1
47183,91,0.0827067669172931
65306,16,0.0153846153846153
37612,54,0.0
79039,80,-0.0864197530864198
79303,30,-0.0396039603960396
65103,30,0.0833333333333332
47917,87,0.0
80013,77,0.0249999999999999
61698,46,0.010752688172043
92874,77,0.1388888888888888
81294,5,0.1386861313868612
19502,31,-0.0397350993377483
81614,79,0.1538461538461537
81702,35,-0.0476190476190476
64506,45,0.1
82449,81,0.0
51086,19,0.0882352941176469
53671,97,0.0
83601,29,-0.0053191489361702
88381,84,0.0416666666666667
62042,35,0.140495867768595
88445,78,0.043956043956044
90107,37,0.6666666666666667
88867,78,0.0357142857142858
21785,74,0.55
10079,20,-0.0135135135135134
10048,8,-0.0898876404494382
10361,75,0.3333333333333332
10397,23,-0.0461538461538461
10434,47,-0.0465116279069767
69235,56,-0.3333333333333333
70148,58,-0.0606060606060605
75510,97,-0.0794297352342159
10634,45,0.09375
69489,55,0.6097560975609757
10800,81,-0.1111111111111111
10763,37,0.8461538461538463
10914,52,0.0161290322580645
10972,47,-0.0714285714285714
11124,83,0.0551181102362203
11128,80,0.127659574468085
11020,23,0.0
10087,5,-0.0138888888888888
11136,37,0.8181818181818181
11353,5,-0.0845070422535211
11344,81,0.125
75033,42,0.1538461538461537
11352,37,0.1666666666666667
11366,71,-0.1792452830188678
11424,33,0.0188679245283018
75068,20,0.0714285714285714
75094,20,-0.0606060606060605
75174,39,0.0826446280991735
75557,31,0.0082644628099173
11661,79,0.3600000000000001
11694,37,0.2272727272727273
11727,69,-0.0126582278481012
75110,42,0.2173913043478261
10074,65,0.2222222222222223
50906,41,-0.0096153846153845
18980,34,0.375
10568,81,-0.0921052631578946
10998,81,-0.1111111111111111
11181,2,0.098901098901099
39116,71,-0.2285714285714285
50032,81,0.0749999999999999
69171,34,1.5333333333333332
68814,20,0.3600000000000001
47730,50,0.0531561461794019
13232,89,0.2380952380952381
13777,5,0.0434782608695651
44652,79,0.0760456273764258
44548,37,0.125
38746,77,-0.0697674418604651
60871,57,-0.037037037037037
14198,65,-0.0217391304347825
45583,35,-0.0434782608695651
14702,53,0.1335504885993486
15537,64,0.1204819277108433
68830,58,-0.0694444444444444
85631,81,-0.0530973451327433
16185,20,-0.0374999999999999
17903,81,0.0851063829787233
49373,96,-0.03125
18570,41,0.1134020618556701
18834,79,0.0
47642,35,0.0671641791044777
18973,11,0.0757575757575756
19271,21,-0.0212765957446808
10866,46,0.0191387559808613
19880,34,0.3125
20240,99,0.0495049504950495
20248,95,-0.0817307692307692
49402,21,0.0108303249097472
25320,2,-0.0066225165562914
40352,37,0.2857142857142858
21726,57,0.0823529411764705
21742,23,0.069767441860465
11267,20,-0.0634920634920634
22753,15,0.0568720379146918
26841,96,-0.1159420289855072
48047,37,0.3846153846153846
65533,81,0.1815181518151816
24126,98,0.1785714285714286
24572,35,0.1428571428571428
24951,64,-0.06
25049,75,0.1136363636363635
25217,16,-0.0263157894736841
