firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
18973,0.4868810346,0.0040611529,3.0126419313,0.0339464995,0.3936957187,0.9707423012,0.0989587782,-0.152168243,0.4769136891,0.0015026443,-0.087170493,-0.076359709,-18.04283966,0.0773358837,0.0763597089,32.0,-0.007569838,-0.088888889,-0.043511445,-0.04251006,0.3547934613,0.0673795572,-0.037857801,-0.198325958,0.3233500603,0.0,1.9526301452,0.2289973908,1.4531869035,0.2101842174,10.234173567,7.4449506309,0.0890943746,0.0,0.0,0.0,0.0,1.0,0.8003726762,6.0,-0.281984063,-0.0914929,-0.151606852,-0.551938696,0.4856151449,-704.5734953,0.1390319872,14.014519249,0.0205684932,-0.034496075,-0.060238514,-0.023277481,0.1077169284,-0.031187215,0.0,-0.00297619,3.054245118,-0.107678954,4.0,13.805944129,1.174429478,0.0,0.1307865083,0.031655777,0.0281589974,0.4902211464,3.7090601966,2.2755816e-09,1.6997427e-08,1.3334768518,1.7781605142,0.0044214259,0.0324907538,0.3836793845,-0.082540426
19271,0.3358505498,-0.057779596,94.32421875,0.0,0.437949117,1.7743682851,-0.062672461,-0.10172318,0.6232166018,-0.002299102,0.0516464914,-0.005254596,-0.074355433,-0.053483369,0.0052545957,40.0,0.0386041972,-0.096474954,0.0340922304,-0.160418045,0.2307566729,0.1570857857,0.0696374529,-0.24525482,0.4444106504,0.0,2.2398472753,-0.132686966,0.7617493926,-0.445323638,694.796875,12.783996167,-0.047232817,0.0,1.0,1.0,0.0,0.0,1.206456434,3.0,24.341844886,-0.183022147,0.1414543669,-0.412106584,-0.050147389,-10882.32256,0.0457936334,11.284835879,0.0024399045,0.0317669624,0.0667266187,-0.017887764,0.1635117872,0.0038233361,0.0,0.0531615305,-0.864998529,-0.031464487,3.0,7.1751070893,0.0152399838,0.0,0.0413317643,0.0225623334,0.0277956394,1.5581368601,0.1182095711,1.10137e-05,4.200001241,-0.052019773,0.087200371,1.0711008387,0.054656018,-0.045067616,0.0542151868
29938,0.1011629706,0.0363230823,41.583786486,0.0135946039,0.1215017725,0.1664276902,0.2796233325,0.0219351694,0.544479649,-0.022276358,0.1047802994,0.0183220829,0.1111111111,0.0322871843,0.0183220829,41.0,0.0171166827,0.0476190476,0.047810097,0.0020019331,0.0870307167,-0.08443686,0.0382646844,-0.0625,0.3867507751,1.0,2.3528183716,-0.393692647,1.3580375783,-0.411691829,8.4702702703,5.3756432247,0.3372333104,0.0,0.0,0.0,0.0,0.0,1.0861220472,6.0,24.394936272,-0.038928145,-0.093233212,-0.352358268,0.035623164,7873.496185,0.0457936334,16.013827784,-0.000477213,0.0372048653,0.0818897638,-0.000268028,0.1139824642,0.0115518436,1.0,0.0,1.0291716149,-0.015290926,5.0,12.35095516,0.0306676131,0.0,0.0280823056,0.0148680041,0.0188082617,0.5324986342,0.0603579078,1.2684395e-08,9.4447225e-07,0.8648289541,0.7479291199,-0.000381925,0.0201012008,-0.197323996,0.0542151868
10866,0.4354734756,0.0667005185,3.1933812213,0.0098517109,0.5435790353,2.0704203223,0.1126194256,0.0586469672,0.9498104668,0.0086218821,0.004685726,-0.030396224,-0.434061557,0.0956526494,0.0303962235,40.0,-0.003742686,-0.017857143,0.0233161024,-0.002656371,0.3446905698,-0.105644812,0.0049834566,0.1346992547,0.4484160544,0.0,1.9917649459,-0.027789792,0.6240332626,-0.014723866,36.580359302,18.735222123,0.1996168437,0.0,0.0,0.0,0.0,0.0,2.2472671434,5.0,0.0127927545,-0.041234034,-0.071158434,-0.10104415,0.0045317511,-2576.345098,0.0893035129,14.029308968,-0.001685696,0.0144585167,0.0303988986,0.0013550337,0.119670915,-0.006435332,0.0,0.0018159806,1.8490881947,0.1007987242,3.0,14.330681767,1.3289508845,0.0,0.0307328887,0.0180510829,0.0291843936,0.3044235906,1.5883233601,2.3499488e-09,2.0414397e-08,1.1044939434,1.2199068709,0.0080660141,0.0397727318,-0.259590314,-0.255723192
25320,0.0902780958,0.0452044668,38.533992095,0.0258404694,0.4391571428,0.5287156305,0.1557397959,-0.002958215,0.3809934673,-0.009584665,0.0311827957,-0.060609801,-0.710564399,0.0773251516,0.0606098013,41.0,-0.002839156,-0.041237113,-0.022496372,-0.012772043,0.12910098,-0.018832552,-0.00357451,-0.145510836,0.3108444802,0.0,0.7455452602,0.0611594203,0.391660727,0.0799574844,31.944664032,12.491499227,0.1503440974,0.0,0.0,1.0,0.0,0.0,1.8452012384,4.0,-7.897121287,-0.233012645,-0.082269345,-0.53225485,0.0386320556,3824.5868682,0.0443391772,16.767521547,-0.008628128,0.002191004,0.0106449593,-0.010401607,0.0312770429,0.0354036548,0.0,0.0014195903,1.1295065964,0.0229541818,8.0,17.07667632,1.4317536102,0.0,0.0345283374,0.0132371885,0.0212913559,0.313892854,2.3609920199,8.218141e-11,1.5224721e-08,0.4451046235,0.1981181259,0.4601625617,0.0233389302,0.2579908268,0.0542151868
21742,0.2738812431,0.0565230599,32.218773408,0.009719145,0.4990331424,2.2068163704,0.1329312834,0.071625979,0.6246691796,0.0098423663,-0.004293175,-0.067459419,-0.891633634,0.1069209212,0.0674594191,32.0,-0.003142304,0.0678005983,-0.019743392,0.1979480968,0.0773070135,0.0485397321,0.1543965923,0.2445241047,0.5128617924,0.0,0.8365831801,-0.160558472,0.2957858417,-0.374099706,145.28369832,147.81229773,0.210702339,0.0,0.0,1.0,0.0,0.0,1.9867261796,6.0,-0.078698108,-0.01088579,-0.474846316,-0.383579224,0.1957446233,-3450.446445,0.1057354468,15.231998,0.0027779711,0.0250230266,0.0706169471,-0.060874368,0.0182451747,0.0059148376,2.0,0.00195666,0.8320091468,0.02490447,5.0,15.940431097,2.1738325096,0.0,0.0268964171,0.0285047578,0.0312753171,0.3638595467,7.1875602459,3.644006e-10,9.7782936e-09,0.5683523634,0.323024409,0.1709534369,0.0276791553,-0.210773685,-0.295036848
11267,0.32117676,0.0511097805,2.2082329918,0.0286255995,0.1926732792,0.8337072812,0.2434506483,0.0190310897,0.6472329533,-0.045243143,0.108211983,-0.094519066,-0.941406896,0.0992248803,0.0945190658,35.0,-0.022091013,0.0,0.0726941316,0.034987634,0.1629370991,0.0536151141,-0.001507745,-0.027897594,0.7192477502,0.0,2.3437269534,-0.070736301,1.6343494876,-0.02160636,3.786938337,24.057577457,0.380410658,0.0,0.0,0.0,0.0,0.0,0.987673513,6.0,0.0043880792,-0.023376891,-0.185455149,-0.207153693,0.0081039821,-2634.698778,0.0893035129,13.760893029,0.0004275044,0.0250613113,0.0386959413,0.0048336455,0.4627047629,0.0224481765,0.0,-0.000260349,0.4354533229,-0.127995715,4.0,14.017878067,1.162316622,0.0,0.0312868208,0.0261496572,0.0307909355,0.3502665958,1.9223962014,3.3341478e-09,2.1396099e-08,0.8566205821,0.7337988216,-0.011638789,0.0329300295,0.2435447016,-0.255723192
86474,0.6913428136,0.0357222308,0.5687376002,0.0615513288,0.0848402981,0.6180534165,0.1563133254,0.0026249439,0.3814803302,0.0224148607,-0.102150538,-0.108930358,-2.363772455,0.1201614559,0.1089303577,28.0,-0.025387189,-0.013793103,-0.36887372,0.0335544688,0.7141133896,0.1533150296,-0.020999551,0.0171918644,0.6811880533,0.0,9.9233700254,0.1192487187,7.6968670618,0.1758028074,1.5705258867,9.5201812191,0.5749217236,0.0,0.0,0.0,0.0,0.0,0.4345174869,5.0,3.0243651167,-0.181033634,1.506497272,-1.207344442,0.2118102627,-5081.772527,0.0446872923,10.434236409,-0.013382414,0.001915087,0.0022379851,0.0758965796,0.2371214393,0.0042614365,0.0,-0.011709602,9.2944567502,-0.002173548,5.0,8.8146127285,0.1484622732,0.0,0.0236220881,0.0153207171,0.0200799234,0.881716223,0.4462728966,6.7905318e-07,1.6527997e-07,0.7708040163,0.5941388316,-1.13837913,0.0557991262,-0.054322285,-0.173219261
22825,0.1780956985,0.0210022871,56.043395965,0.0018193544,0.0776961553,0.2474584749,0.1512897625,0.0893153904,0.5211370058,0.0039090777,0.0380283091,-0.019848667,-0.231831168,0.0258712719,0.0198486666,36.0,0.0220340375,0.0951760104,0.1560207796,0.0473515313,0.3830607122,0.0692679564,0.0540450811,0.1133126715,0.2645693054,0.0,2.6670961713,0.08205912,1.6465082691,0.0510612582,17.81223203,8.0940333787,0.4129234533,0.0,0.0,1.0,0.0,1.0,0.7583190507,8.0,-0.785724728,-0.013350925,0.4788138195,-0.87392142,0.9598899426,-828.6884556,0.0352290716,14.791413422,0.0035923118,0.0228881528,0.0336694443,0.0087060969,0.0543121855,-0.01586531,2.0,0.0003644315,1.1181668091,0.1008249074,6.0,14.571027337,0.8560626044,0.0,0.0331147648,0.0151676015,0.0262320967,0.4584223173,2.4712736005,1.0322796e-09,2.3284344e-08,0.9611592727,0.9238271474,0.1118886359,0.0304924453,0.1892153612,-0.165492678
26201,0.8636855109,0.0500147473,-0.060376939,0.0422365881,0.1559246594,0.6611736582,0.1060837844,5.27591e-05,0.3068658568,-0.001670895,-0.057964044,0.0032055577,0.0653473865,0.0467464143,0.0032055577,40.0,0.0015531866,-0.085126286,-0.114823563,0.0342084861,0.8286271958,0.1809498464,0.0063205389,0.0112968445,0.5120410381,0.0,4.674697297,0.0638310046,3.709964717,0.0699011149,2.0356601061,4.4370659158,0.4816894809,0.0,0.0,0.0,0.0,1.0,0.3651319519,4.0,45.093978895,-0.205085217,9.1573751555,-1.329819415,0.3226738501,-4744.287696,0.0587429544,12.713278991,-0.002705486,0.0115556306,0.0136875684,-0.025636727,0.3185489062,-0.004967079,1.0,-0.001041305,1.4265505805,-0.187585278,3.0,12.886064901,1.3800478489,0.0,0.0552658737,0.0216320594,0.035420591,0.3571021698,2.108417247,1.0683048e-08,2.1190193e-08,1.4714252909,2.1650923866,0.0678071765,0.0368446463,0.0296830566,-0.173219261
65541,0.3256869847,0.0341995172,186.86585917,0.0003654964,0.2369770443,0.2176979942,0.0825836166,0.4210931128,0.3849488455,0.0030836545,1.6197624715,-0.048703717,-0.685428525,0.0576408419,0.0487037168,32.0,0.0112056966,0.1825,0.0819102804,-0.003155852,0.1474419225,-0.12973049,0.1045172843,0.0687629833,0.2092476915,0.0,1.7902515254,-0.230337102,0.9275434097,-0.270245925,68.106256443,6.2175184595,0.315874298,0.0,0.0,0.0,0.0,0.0,0.496611611,3.0,-10.06425674,0.0999378484,0.2983288415,-0.728251424,0.1308340844,4776.5327967,0.0318276958,15.749613378,-0.00188693,0.0102334349,0.0172251928,0.0033929219,0.003844952,-0.057381055,0.0,-0.000112994,2.4525345255,-0.052675313,6.0,16.371459506,2.5267095121,0.0,0.0335155725,0.0169643387,0.0243080164,0.2676384754,2.6514409088,2.240789e-10,1.1096252e-08,0.6978714107,0.4870245059,-0.095395524,0.0277493197,-0.110326364,-0.165492678
27562,0.1478061993,0.0450070959,9.2878515756,0.0470610734,0.2850140943,0.780479604,0.1971378284,0.1005133189,0.3315166089,0.0065068637,0.1486630803,-0.113115831,-1.038126209,0.0917301417,0.1131158308,34.0,-0.008222158,0.0,0.0591006295,0.112085297,0.0687702112,0.0610301832,0.0360070323,0.0182108463,0.5870061159,0.0,1.0251632029,0.0711549657,0.6816842493,0.4297507624,10.707215912,147.81229773,0.2434069327,0.0,0.0,0.0,0.0,0.0,0.8674071818,7.0,-0.01612881,-2.584323292,-0.158747823,-0.416259995,0.0261060013,-931.3332554,0.0775320588,15.080856054,0.0035517592,0.0315768717,0.0811526661,0.0072597671,0.1684136865,0.0136948612,1.0,0.0005925341,1.7852575257,-0.039398248,6.0,16.142568763,3.290406572,0.0,0.0440322906,0.0171641836,0.0296112955,0.4415455893,10.591957068,2.191574e-10,5.8172288e-09,0.3794805482,0.1440054864,-0.222171014,0.0276716299,0.0559205999,-0.171888437
27909,0.3780996808,0.0477140034,3.6369692164,0.0239947205,0.164442509,0.9819694508,0.170063583,0.0648274148,0.3819305931,-0.002530612,0.0559045354,-0.066445383,-0.732532679,0.0826660702,0.0664453827,32.0,0.0108936723,0.0179948586,0.0801080923,0.0509459339,0.1635068463,-0.056603382,0.0519402243,0.0687553694,0.6009800429,0.0,2.7502670816,-0.050750976,1.7635979377,-0.04599783,7.8070427144,10.703499206,0.4147055334,0.0,0.0,0.0,0.0,0.0,0.5479578322,6.0,-2.241791317,-0.061991818,9.1590057435,0.7277581166,-1.009831222,-1023.33815,0.4540382957,12.659305155,0.0038388712,0.0274321927,0.0393629581,0.0110514334,0.1899606763,-0.00032055,0.0,0.0039669421,1.0965431883,0.0164667899,5.0,12.739740613,1.000462585,0.0,0.036701005,0.0171327783,0.0295465704,0.3417553793,0.8872375721,1.6207099e-08,4.0133799e-08,0.5139654143,0.2641604471,-1.001451326,0.0366500937,-0.60620189,-0.123188226
49154,0.2970113036,0.0519668988,8.3380780724,0.027012602,0.5815666784,1.5409278306,0.1215237026,-0.070679864,0.4789800911,0.0115067835,-0.03230704,-0.046302221,-0.812576562,0.0941939828,0.0463022209,41.0,0.0005584187,-0.051912568,0.000303047,-0.004781494,0.0820171046,0.1576845284,-0.105312774,-0.137637853,0.5242945126,0.0,1.20032379,0.325199781,0.4513462849,1.054453681,32.858823529,64.721925134,0.1642950708,0.0,0.0,1.0,0.0,0.0,1.2780481794,4.0,0.0137819834,-0.079808481,-0.054193308,-0.482930612,0.0235861503,24883.930979,0.3313016233,17.67085117,0.0047013834,0.0191119023,0.0545364752,0.0091081732,0.067894815,0.0738067523,1.0,0.0012217471,2.0178456814,0.021214715,3.0,18.276342549,1.8245730705,0.0,0.0398703143,0.0175987632,0.0267479741,0.3382742585,4.0279261661,3.160432e-11,1.191205e-08,0.5672928494,0.321821177,-0.115406298,0.0234621468,-0.00083904,-0.214196551
19350,0.3066411861,0.1069789507,-1.641083778,0.0271837584,1.7686327076,1.202456669,0.0793861695,0.0304949657,0.1861736891,-0.075705652,0.0612604967,-0.006026923,-0.115191195,0.1193019838,0.0060269226,40.0,-0.011997581,-0.110688503,-0.048450495,-0.035345848,0.1361887984,0.0294000461,0.0072276647,-0.117204699,0.6237542047,0.0,24.513785676,0.3069917104,22.246849758,0.334203148,7.8798004435,0.9656408278,0.088022103,0.0,0.0,0.0,0.0,0.0,1.0141732744,4.0,7.1285243456,-0.2488942,-0.05897222,-0.451665324,0.1116109409,25103.401141,0.0410566741,17.045636414,-0.003384698,0.0085847569,0.0625902273,-0.061460318,0.0707728542,0.0023077051,0.0,0.0007401925,3.0303076435,-0.125906866,5.0,17.68733923,2.1772324515,0.0,0.0436280742,0.0206421625,0.0275678905,0.3634478552,4.9528697617,5.908834e-11,9.3672471e-09,0.8520130297,0.7259262028,-0.021334145,0.0213949547,0.0817163271,-0.268505553
49429,0.4315222394,0.070917683,3.2353458299,0.0021801888,0.4596306903,1.4489278053,0.1480289962,0.0294593159,0.6190287747,-0.062710476,0.0448176428,-0.068055581,-0.842951548,0.1306978536,0.0680555809,41.0,0.0070941914,0.0,0.01320307,0.0027859935,0.123539613,0.0319708874,0.0013340776,0.0135895195,0.5488995852,0.0,2.1330542638,1.42138e-05,0.5805350138,0.4351542462,16.49273166,119.9810476,0.2767823862,0.0,0.0,1.0,0.0,0.0,1.2264269046,6.0,0.0077842899,-0.027895912,0.0803176273,0.599955985,0.0600900211,-14745.9961,0.3313016233,14.822372199,-0.000796044,0.0066957928,0.0140812557,0.0094557347,0.0437587496,0.0057618011,0.0,-9.8155e-05,1.6192132129,0.0026696565,4.0,16.135141737,4.3329886138,0.0,0.0817116052,0.028175578,0.0385511664,0.4684877496,14.85902034,3.803541e-10,4.4633978e-09,0.9828336146,0.9659619139,-0.114589314,0.035061851,0.1948894998,-0.214196551
61313,0.17131459,0.0460168781,14.271543189,0.0201043991,0.2279457471,0.5243154837,0.182411332,-0.068408282,0.4588302887,-0.041365754,0.0967680503,-0.002522425,-0.022737866,0.0470632037,0.002522425,41.0,0.0061855917,0.0,-0.041339966,-0.017234709,0.1578756128,0.0616989807,0.0208745729,-0.227149987,0.5211256462,0.0,1.8384402307,-0.085368944,1.3658523099,-0.143354277,10.908749218,5.1545083223,0.286591662,0.0,0.0,1.0,0.0,0.0,0.8739100813,4.0,-4.446292415,-0.064988219,-0.179401114,-12.26035773,-0.042982574,-4992.867361,0.0604618429,15.136208764,-0.00318985,0.0305553268,0.066546631,-0.012742088,0.1201237446,-0.006648017,1.0,0.0008928571,1.4943934314,-0.024529591,7.0,16.060062412,1.78057434,0.0,0.0440606251,0.0186817955,0.0246778681,0.3469344049,2.1333601882,5.434668e-10,1.5411173e-08,1.1453843007,1.3119051963,0.0314542856,0.0201531001,0.0588322847,-0.27769074
