firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,cfp,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
50091,0.9756644778,0.0843495935,-14.40631229,0.0392120075,1.7671122577,3.2651813634,0.0159847408,0.0385209654,0.3546924302,0.012866701,0.0167365334,0.0276110069,20.0,0.0289909365,0.0414923291,-0.078690745,-0.335832497,-0.04222949,0.1403681177,0.0472617377,0.0804491231,0.5084000502,0.0,2.1598305124,0.1114140799,1.3371494844,0.0554572463,46.254928018,4.2830832966,0.1188508777,0.0,0.0,1.0,0.0,1.0,0.9404834046,5.0,0.0878458135,0.0275728381,0.2815621948,-0.387231909,-1.672603497,-0.114624996,-434.0626891,0.0678165275,11.869375384,0.0503608196,0.0100541977,0.0288064487,0.0323092558,0.0257370545,0.0302499971,0.0,0.002,-0.419173392,0.0079671396,1.0,10.873987075,0.2658388241,0.0,0.01459854,0.0073059417,0.007120219,0.8199854502,0.9795641157,6.6162339e-08,9.806292e-08,0.7454395406,0.5556801087,0.0631977486,0.0235866201,0.4330595911,0.1410854891
14286,1.3217454945,-0.119903638,-10.96790476,0.0731863507,3.3250998689,6.6441008752,-0.130078092,-0.07159371,0.3833043545,0.0861486486,-0.096483378,-0.299820084,20.0,0.0609549476,0.0308988764,0.1970639299,-0.113117133,-0.046447354,0.2496056782,0.0772302578,-0.056261975,0.4760900803,0.0,2.0760219745,-0.123557296,0.981257069,-0.303667224,20.75047619,6.1701404622,0.0759868364,0.0,0.0,1.0,1.0,1.0,1.6198397492,3.0,-0.225118475,-0.273401078,1.0226300124,-1.10761571,0.0955968813,-0.342276651,-3349.902889,0.0517389473,9.201476201,0.0059090256,-0.014366705,-0.029791592,-0.960399051,0.0946505398,-0.03361236,0.0,-0.066184074,0.1122510561,-0.044642851,3.0,8.3640420119,0.27628404,0.0,0.1052631587,0.0606860084,0.090132877,1.2146321805,3.0067813826,7.5385508e-06,12.409090964,0.5752244468,0.3308831642,0.4706851317,0.1007494193,0.5771929604,0.2001894463
14526,0.5618645571,0.0162949243,-6.235402809,0.0189204366,0.9398348834,3.3901767418,0.0307754572,0.2176603461,0.3961687134,0.0102451241,0.3714248747,-0.053677688,20.0,0.0449856898,0.0942515864,0.2022587126,-0.156467479,-0.134656822,0.2422169848,0.0862655892,0.0153825611,0.5806427881,0.0,1.5711202306,-0.072482388,1.1967255016,-0.073132198,63.583980044,4.7596630635,0.1153751724,0.0,0.0,0.0,0.0,0.0,0.8545066097,1.0,0.0074095828,-0.264551168,-0.036131002,-5.012870068,2.9773926535,-0.096404528,-203.2606957,0.0506063692,12.384754252,0.0002695356,0.0119419753,0.031278313,0.0069824462,0.0189224598,0.0059016064,0.0,-0.001088435,-0.494586909,0.0165966675,2.0,11.174231637,0.4449228029,0.0,0.0281690136,0.0127172791,0.0239986794,1.4702328153,2.0824874317,5.8912032e-08,3.6852457e-08,-0.056596401,0.0032031526,0.6936148263,0.0414575202,-0.251058034,0.0753179191
11581,0.3667097242,0.0577380464,27.889879392,0.0053616829,0.7179358375,1.4818748462,0.1190953898,0.0919367823,0.6118041269,0.0113033449,0.0366264038,0.1003410427,8.0,0.0355347981,-0.027027027,0.2029360201,-0.10997261,-0.005647857,0.2864565651,0.1618010307,0.2193046245,0.428582249,0.0,1.7144020007,-0.016228101,0.783209925,-0.062231526,227.39590981,6.7483776592,0.1758992536,0.0,0.0,0.0,0.0,1.0,1.8915577775,6.0,-0.344231171,-0.127708157,-0.091497975,-0.71455284,0.4071900664,0.0429346268,-295.8520098,0.0295456463,12.854200559,0.0053818599,0.017142299,0.0507030966,0.0762730503,0.0069726259,-0.051634427,1.0,0.0,0.4663899893,0.0803255029,7.0,11.86673932,0.5450174935,0.0,0.075000003,0.0198169149,0.0167528398,2.0184293268,6.6456212474,5.9302308e-08,2.4083687e-08,0.9334485567,0.8713262079,-0.51759276,0.036007054,-0.108059598,0.37911895
15203,0.6479370546,0.0543144221,-39.4182243,0.0,0.8569124474,1.7848782721,0.0684388481,0.1611058792,0.5034306471,0.0056550424,0.2142063002,-0.026764892,20.0,0.1527686992,0.04,0.0081248769,0.1367850366,0.1205133376,0.1848918672,0.19514328,0.0976222124,0.5628131626,0.0,1.7323088363,-0.16145037,0.5897880778,-0.344579501,191.3364486,5.2120672098,0.1372461504,0.0,0.0,1.0,0.0,0.0,1.062619997,4.0,-0.06731862,-0.048315896,0.2999277044,-2.27891041,0.2847169156,-0.082734755,-549.0550437,0.0330202494,8.7699732119,-0.017728319,-0.027923312,-0.068774816,0.0366244295,0.0061949339,-0.029996551,0.0,-0.055787057,0.0832298644,-0.076821271,2.0,5.1239639794,0.1342031687,0.0,0.0909090936,0.0488639715,0.0900038214,0.8169558377,1.6192199385,6.7884031e-06,10.50000009,0.4181501493,0.1748495473,1.0150195714,0.0562130448,0.4755770324,0.37911895
15748,1.3149135563,-0.426563257,-55.18421053,0.0,2.132169979,5.8086928421,-0.046231251,0.0551983381,0.4563260461,0.0,0.4128479657,-0.232994022,11.0,0.0065460146,-0.039426523,-0.152042646,-0.475244267,-0.047367282,0.2798377752,0.018399446,-0.251884538,0.5921575888,0.0,1.4390838207,-0.255615035,0.7089018843,-0.170691868,135.15037594,4.5877998979,-0.1485623,0.0,0.0,1.0,0.0,0.0,0.795182938,2.0,-0.571234182,-1.567586447,0.8048386527,-3.106368637,-1.648681236,-0.296938983,-797.7438377,0.0650286707,8.6306557963,0.0,0.0072700836,0.019436346,0.3916628944,0.0191206274,0.0146757144,2.0,0.0789151741,15.802147239,0.2166081965,2.0,8.347590407,1.7527191299,0.0,0.0526315793,0.0355490744,0.0456852881,1.0483111274,8.9118898475,9.3998802e-07,0.9545454647,1.6983190456,2.8842875805,0.2591844069,0.0907307826,0.4720280023,0.3969433196
15828,1.052850464,0.0271858209,-3.743113668,0.0282185472,0.5729956039,2.2302979555,0.0363141258,-0.057794025,0.4762952299,0.0002373042,-0.135111223,0.0807759403,13.0,0.0081283886,-0.014388489,0.0341409121,-0.069473546,0.0248391641,0.2831806665,0.0078935024,-0.009609578,0.5520500601,0.0,2.5283741865,0.0414956963,1.657502585,-0.01004945,13.930613668,4.3616812227,0.1753078053,0.0,0.0,1.0,0.0,0.0,0.7648016384,8.0,-0.994205395,-0.194343937,0.5915869705,474.90686798,1.8769665941,0.0724644111,-388.6759664,0.0626025367,10.816643376,0.0076683152,0.0026721892,0.004178855,-0.185343238,0.0721821026,0.0053026013,2.0,0.0184921764,0.4117156356,0.0527009238,4.0,11.216202648,0.8660223165,0.0,0.0366847813,0.018166436,0.0243790489,1.5163568239,2.638220962,2.3527728e-07,0.9545454872,0.362618843,0.1314924253,1.0363573514,0.0472994164,0.2678718526,0.3349894507
16126,0.543198041,0.0603553379,73.067307692,0.0070581288,0.4032581323,1.1346914674,0.1088000471,0.3187749255,0.4765942618,0.0039125022,0.8185463659,0.1046214766,19.0,0.0352998147,0.0809248555,0.3243173121,0.0390007822,0.1988852619,0.1430474604,0.1362914779,0.0953101362,0.4614369935,0.0,2.0646974063,0.0138419195,1.3,0.0249216301,349.00854701,4.6555694904,0.3459007647,0.0,0.0,1.0,0.0,0.0,0.6583179246,7.0,0.0265126802,-0.277877899,-0.054797518,-9.267494647,0.2960706441,0.0618946361,-370.2818207,0.0506063692,9.8345661071,0.0004160533,0.015135437,0.02557931,0.0264833206,0.0013751655,0.0492562344,0.0,0.0021645022,-0.338258914,0.0938721895,5.0,7.9120568882,0.2335770659,0.0,0.0740740746,0.0418527139,0.043430929,1.3679652412,2.5027527177,6.6530639e-06,5.0805386e-08,0.1548099277,0.0239661137,0.6899446428,0.0748114069,0.1048079835,0.0753179191
17137,0.7352629462,0.0622099011,1.4411319863,0.0284223727,0.1128451141,1.271698804,0.047172374,0.0296965628,0.302309195,-0.024986157,0.0837738918,0.0617167253,20.0,0.0306387594,-0.018867925,0.0134803581,0.0538725411,-0.010792267,0.1612897313,0.0455639625,0.0218710515,0.4896867823,0.0,5.6748471516,-0.06566373,3.387120736,-0.147000294,12.065721375,7.0973351683,0.7754741241,0.0,0.0,0.0,0.0,0.0,0.3412098659,3.0,-0.000628284,-0.148268299,0.3014586963,-0.091306409,-0.550479087,0.128160486,143.15881551,0.0700566297,12.88528316,-0.001194516,0.0232771224,0.0270439782,-0.010229663,0.1242738577,0.0073868059,1.0,0.0,-0.205095147,0.0003024805,5.0,11.449186624,0.2863666477,0.0,0.03539823,0.0148681233,0.0242951453,0.7296703651,0.6191087369,4.1168815e-08,9.0531601e-08,0.8471957698,0.7177406723,-2.040148222,0.0406668972,-0.017036331,-0.069072735
85885,2.0919059011,-0.341507177,-4.347700274,0.0412679426,1.1808213716,11.891048644,-0.238559354,-0.28751362,0.4219624356,-0.013375295,-0.439375296,0.7887759171,9.0,-0.20337338,-0.13648294,0.0266006885,0.2913461422,-0.31204244,1.1988636364,-0.171477644,-0.176050255,0.6495040048,0.0,3.4169302326,0.3364331787,2.4122790698,0.5593069043,18.167986598,7.0415559884,-0.143801553,0.0,0.0,0.0,0.0,0.0,0.8789163722,4.0,-0.031230293,-0.427964174,1.5089183699,-0.560324264,-0.112331708,0.8651466472,-481.804454,0.0687928111,9.2293093185,0.0085836097,-0.001944063,-0.003573811,-1.359857815,0.0406059401,0.0100992354,2.0,0.0745845156,-0.609398898,0.0606060624,2.0,8.4055910148,0.3837920489,0.0,0.0967741907,0.0499736959,0.0494482514,1.3119495696,1.5296930626,1.4293e-05,3.8181818977,1.0422802456,1.0863481103,0.5229013247,0.0703723377,-0.004166661,-0.132135327
85914,0.2700874647,0.0361713443,6.8719894107,0.0,0.555925204,2.6072974451,0.0864621307,1.1689886187,1.0914077906,0.8156589822,1.4957272278,-0.109441081,9.0,0.2805984793,0.5833333333,0.8559103889,0.4614729679,-0.252238509,0.1294435052,1.0283325211,0.7085740305,0.5659804156,0.0,1.9018824559,0.1601491713,0.3150526829,0.0667402254,50.216027525,56.787058024,0.1427048843,0.0,0.0,1.0,0.0,0.0,2.5810580252,2.0,0.028078534,0.4125357534,-0.257505144,-0.182244864,0.4124575628,-0.177067797,718.90022825,0.0778715185,13.932405199,0.0035696196,0.0139286571,0.0540278227,0.2901675621,0.0101951304,0.0157927419,2.0,-9.9435e-05,6.0359100839,-0.223468497,3.0,14.736255854,2.9804510807,0.0,0.0450000018,0.0166612198,0.0260984023,0.6561315691,7.3089725943,1.0221684e-09,7.8400057e-09,1.716717815,2.9471200562,0.2647212448,0.0783271468,-0.230251097,-0.059446748
38471,-0.40046741,-1.184135234,-17.96964286,0.0,3.418622434,3.9376507264,-0.280967797,-0.264884268,-0.024136651,0.1887979862,0.1666934318,0.0974060349,19.0,-0.09473534,-0.225352113,-0.255317255,0.1449129824,-0.824047824,0.1558854719,-0.126253249,-1.635311459,0.4766922041,0.0,0.8540124371,-0.426990664,0.510512289,-0.463494536,119.54285714,5.3538067818,-0.460865698,0.0,0.0,1.0,0.0,0.0,-0.232721382,3.0,-0.391043079,-0.313668009,-0.971972646,-3.381662111,-0.962703401,0.0414361715,-558.4001687,0.0330202494,8.1724115269,0.0,0.0152473642,-0.041065968,0.7973729281,0.0020980855,0.0800392788,1.0,0.3837779241,15.802147239,-0.223468497,1.0,6.8473415724,0.277924828,0.0,0.125,0.0460234128,0.0343626141,0.781690083,0.8660032607,1.22146e-05,2.8636364698,-0.467760814,0.2188001787,0.7716873887,0.2072059609,1.0624999196,0.37911895
55044,1.5075846657,0.0570599108,-11.13961058,0.0154888836,1.7232594325,4.0702012343,0.0368885281,0.0742504125,0.4422691237,0.0,0.0829973118,-0.078213014,20.0,0.0214965061,0.0224924012,0.1577624106,0.0519899066,-0.091517199,0.1194493135,0.0466058145,0.0644236554,0.5842026799,0.0,2.7485067921,0.0254258118,1.4286519724,0.0392945445,28.444535264,3.5710997742,0.0674100661,0.0,0.0,1.0,0.0,0.0,0.9064966319,4.0,-0.351355914,-0.078188728,1.049376967,-0.744648891,0.96242607,-0.13561943,-528.6346348,0.0295456463,11.26936713,0.0053166962,0.0044836759,0.0096789027,0.3316659531,0.0442895265,0.0133612327,1.0,0.0141521946,0.2364864865,-0.016949153,1.0,8.9956763923,0.1306787526,0.0,0.0252525248,0.0105508188,0.012276414,1.0846240684,0.4605395257,4.8511541e-07,1.4695928e-07,0.5043541927,0.2543731517,0.1271367146,0.0222243483,0.493181867,0.37911895
18092,0.3202510859,0.0625814559,4.9527626702,0.0,0.0544927817,0.3346034631,0.3458690281,0.1796455508,0.752331346,-0.007494275,0.1451120738,0.0589288243,12.0,0.0239745445,0.4171122995,0.1130740996,-0.029675109,-0.01273529,0.1597488459,0.0424424888,0.1857300734,0.6885650275,0.0,6.3588509634,0.0945034299,4.6445307419,0.1523147066,2.6504522799,3.8563533058,1.3695514734,0.0,0.0,0.0,0.0,0.0,0.8829313784,3.0,-1.008720115,0.2371568513,-0.141012408,474.90686798,0.2225873469,0.0506172952,691.13053361,0.0626025367,14.395160879,0.0074665097,0.0437444077,0.0514532788,0.0116358896,0.2667381018,0.0997611158,1.0,0.0018423902,6.0762565558,0.1173786428,4.0,15.222140738,1.5540160433,0.0,0.043103449,0.0217076673,0.0300643225,0.4718222446,2.1600566197,2.9995751e-09,2.1307712e-08,1.1954199001,1.4290287376,0.1242755304,0.0567380389,-0.242254753,0.3349894507
18244,0.776643164,0.0437636761,0.1748552214,0.0,0.2220601345,0.8711402869,0.0164992826,0.0319042037,0.0570256238,-0.021878716,0.0534409842,0.0718858903,11.0,-0.001978158,0.0,-0.021483842,-0.077101819,0.0141952119,0.132345915,0.0089599732,0.0259072904,0.7355752658,0.0,6.2321428571,-0.031712251,4.7767857143,-0.014486553,2.0080328788,5.7205960617,0.3059352181,0.0,0.0,1.0,0.0,0.0,0.0665881597,6.0,-0.963901902,-0.179955448,0.3153796704,474.90686798,-0.392190213,0.0635743611,-412.1644664,0.0626025367,9.988609646,-0.013273616,0.0105538738,0.013457125,0.0124348635,0.1766393116,-0.010150269,2.0,-0.017225344,-0.775550064,-0.054818211,6.0,8.7939154236,0.6193346191,0.0,0.1935483813,0.0815579449,0.1399742815,1.1214447918,4.8341612775,1.4011212e-06,1.5227959e-08,-0.261302622,0.0682790602,0.8086498901,0.0940800818,1.4797571146,0.3349894507
55108,0.4485616023,0.0653379992,-0.254277,0.0147134163,0.8765357128,1.3100720486,0.122072759,0.1023144307,0.4232418132,0.0181535694,0.116296905,0.0784115134,20.0,0.0043614609,-0.020833333,-0.295195064,-0.435094688,0.4704094558,0.1594906781,0.0175645364,0.0759781004,0.5201748424,0.0,1.6029504389,0.1742664386,1.2552077615,0.2535604764,9.3331545784,3.6242692886,0.15110139,0.0,0.0,1.0,0.0,0.0,1.1488479471,6.0,0.0497201083,-0.379636088,-0.149433957,-5.732302762,1.9052239039,0.035684673,-34.29526073,0.0506063692,12.093701502,0.0079051711,0.0252192579,0.0670857715,0.0523967331,0.1110683835,0.0042429502,3.0,-0.00052067,-0.743589744,0.0331169162,3.0,8.4774123214,0.0355014896,0.0,0.0380116962,0.0149233336,0.0158965718,1.4701890758,0.942825458,9.0474864e-07,11.454545744,0.6728039534,0.4526651597,0.5106063855,0.0527507309,-0.219596614,0.0753179191
11901,0.0637853294,-0.119554725,29.664777681,0.0,0.383713968,0.4020919633,-0.2428921,1.4522565957,-0.470489711,0.5958230958,1.1203241053,-0.148148148,6.0,0.0065947707,0.1570881226,0.007162096,0.2483939181,-2.216922923,0.0903034789,0.5626088121,4.1845174973,0.3086229043,0.0,1.165304693,-0.463889976,0.9803875788,-0.484723773,14.344376635,6.1830139045,-0.391759716,0.0,0.0,1.0,1.0,0.0,-2.567958709,2.0,-0.076095233,-0.043629097,3.2673996106,9.3027028237,-0.770738974,1.292467246,-26.45055709,0.319011425,11.107363165,0.0,-0.121008996,-0.615749526,0.0144280702,0.0430211247,-0.022777962,0.0,-0.00260117,0.0079057926,-0.112282729,1.0,11.66357789,1.7485136837,0.0,0.1914893687,0.0753452531,0.1188614471,0.73136531,8.0206039595,1.134e-07,6.6696021e-09,0.8573264844,0.7350087009,1.0197380223,0.1169713896,1.1219551552,0.2679869561
20336,1.0575505575,0.0692782062,-0.328166157,0.0,0.148913887,0.7842663713,0.1065270506,0.0747854809,0.4431120526,0.0128581925,0.0440802487,-0.063434495,13.0,0.0640260257,0.1743119266,0.0802109353,-0.70239776,-0.099986966,0.1913346903,0.0957167989,0.0792547503,0.762692043,0.0,13.207826547,0.0006605678,11.519830777,-0.074760053,1.246556915,3.8276947286,0.657174454,0.0,0.0,0.0,0.0,0.0,0.5063337995,3.0,0.1412648454,-0.342504962,0.8975593116,8.3020959694,0.2922539326,-0.086366339,-487.2547135,0.0991112115,9.9265935413,-0.011949641,-0.014430786,-0.016462787,0.0177363808,0.5572371762,0.0208961123,0.0,-0.032623031,-0.090101691,-0.033400989,3.0,9.5335102374,0.5823867106,0.0,0.0819672123,0.0369297768,0.0389043586,2.0184293268,8.9166393091,1.3967824e-06,3.8181818402,0.617851718,0.3817407455,0.8053685313,0.0460539171,0.250000005,0.2318921706
