firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,secured,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,chmom,turn,IPO,indmom,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol
13283,0.2342745506,0.079678642,4.1698680073,0.0,0.0233604982,0.2583790138,0.5338717819,0.4507750314,1.1977377461,0.0,0.0161812298,0.1076923077,0.2941176471,0.0562437473,0.1076923077,7,0.0,0.1111111111,0.2954121596,-0.065773824,0.0088761615,0.3431372549,-0.196912808,0.0067029744,0.5153994225,0.8110438926,0,10.598726115,0.4562055889,10.598726115,0.4562055889,1.4513163393,6.8772277228,1.5907128466,0.0,1.0,0,,0,0.0,1.3758421559,3.0,-0.036597936,-0.171780309,-0.154329205,-0.219167787,-1.793969216,1.404287233,61.23607633,-339.5354633,0.207869402,10.233150947,0.0222858962,0.0712161269,0.1233543217,0.0132856486,0.6452424459,-0.002040578,2.0,0.0026117087,-0.284948159,-0.013333334,2.0,9.5657395024,0.5583333147,0.2749011147,0,0.1431173512,0.0338983051,0.0232644883,0.0235256388,0.8292728239,1.1378014347,5.0874098e-07,4.2000000994,0.9898916032,0.9798853861,0.354370445,0.0505607278
13531,0.2967734728,0.086835099,3.4743500464,0.0,0.145891903,0.4995624732,0.5205804749,0.3312430011,0.7480403135,0.0001303441,0.189435337,0.017100586,0.076329331,0.0802070339,0.017100586,4,-0.006917091,0.1627906977,0.3848059455,0.0288737421,0.051135585,0.3209242619,0.0056686028,0.0606942889,0.4141234918,0.788554004,0,2.8678511938,0.1300770623,2.8678511938,0.1407943368,3.1142061281,2.2662162162,0.7853577371,0.0,1.0,0,,0,0.0,1.1852377573,5.0,-0.028589344,0.3227107367,0.1819121137,-0.247354124,2.4513006454,-0.152369112,0.0652456799,-252.0569524,0.0510165814,9.9185916591,0.0226203807,0.0712161269,0.1051317614,0.0205544488,0.3623822342,-0.054076669,3.0,0.0045428311,3.2130329258,0.1925901826,5.0,9.691639343,1.0290908664,0.5651799181,0,0.0561326721,0.0444444455,0.043768245,0.0526344929,1.0864717409,1.3066922616,9.9789959e-07,6.5070116e-08,2.289319761,5.2409849683,-0.080046892,0.1281995911
13646,0.6039837861,0.0645596972,0.8763870896,0.0142551499,0.5941072388,0.7366258156,0.0650526647,0.1208061864,0.1185836936,0.0962241169,0.1669684428,0.0175423486,0.3115757267,0.0444444626,0.0175423486,11,0.0,0.0,0.0697040685,-0.05349238,-0.289455671,0.0439572231,-0.000892433,0.1157522986,0.0876860141,0.5505689412,0,1.4612521891,0.0524154135,1.4612521891,0.0524154135,4.8779158491,22.109683794,0.1903909281,0.0,0.0,1,1.0502916149,0,0.0,0.165293176,3.0,-0.025204592,-0.058313473,-0.074828344,0.0435726629,-1.238718649,-1.357983607,0.3762762984,-41.70346679,0.0934576233,10.285443046,-0.0078125,-0.007551475,-0.015153167,0.0041086428,0.1131998918,-0.091931063,0.0,-0.007047903,-0.716131284,-0.013513514,4.0,8.6429443967,-0.126925734,0.2605988734,0,0.0242707494,0.0040000002,0.0018712019,0.0593627955,1.3082771048,1.7680350881,9.5983627e-09,5.8061816e-08,0.3230520061,0.1043625986,0.3713188783,0.026909846
50091,1.9323067802,0.1489594059,-30.43697163,0.0592218166,2.2500546039,4.046038878,-0.053025978,0.1124431498,0.3167969658,0.00295733,0.1864526691,0.0896388477,2.3896103896,-0.206995538,0.0896388477,10,0.0561146415,0.0714285714,0.0662196385,0.0127117692,0.2158432698,0.1023826374,-0.069045875,0.1109658733,0.0371111576,0.4471303151,0,1.7912133061,-0.020216406,1.097061657,-0.10564733,48.721209844,4.1526107633,0.1338987068,0.0,0.0,1,0.1506898277,0,0.0,0.5832447143,3.0,-0.019495796,-0.10419875,-0.053588935,0.6061703025,-0.962666806,-1.177508573,-0.063932375,-111.2850078,0.0614925382,11.778085817,0.0043871083,0.0159535357,0.0359552889,0.1813602015,0.0194633821,-0.006142829,2.0,0.0056410256,4.6148491879,0.1152289612,2.0,10.617530513,-0.053672657,0.1801839465,0,0.283499079,0.0454545468,0.0239359755,0.0162976622,0.9434828532,2.2438122316,5.2768553e-08,4.2393554e-08,0.4440676635,0.1971960898,-0.504519399,0.0337365878
14104,0.4398259229,0.0752580282,14.696052092,0.022432391,0.3690543729,1.2786009674,0.1621809074,0.2719002375,0.5590973872,0.0014825797,0.4804872137,0.1855782199,1.7814130871,-0.058807608,0.1855782199,2,0.133490857,0.1512605042,0.2150383279,-0.119391948,0.0156424208,0.0566086285,-0.13329741,0.4490973872,0.1374326119,0.5881534353,0,2.772131909,-0.156077596,1.3967487227,-0.407732151,51.548112058,6.5229654747,0.3079178169,0.0,0.0,1,0.2917501525,0,0.0,0.8894444879,3.0,-0.016981529,,0.143256394,-0.509932184,0.8040200696,0.2211842234,-3.025102727,-532.4428424,0.0439818798,11.389536747,0.0074811487,0.0211090452,0.0522628034,0.1361733563,0.0241102428,-0.042693238,1.0,0.0021614818,-0.840579864,0.0002070395,5.0,11.180524928,0.3702918939,0.8029035433,0,0.4338735429,0.0465116277,0.0263683702,0.0264400407,1.331106926,4.4252618017,3.0842065e-07,3.6148792e-08,1.2417284911,1.5418896456,-0.059294424,0.0366139671
14286,0.734628284,0.1029439165,-2.04029304,0.0,1.1230203093,2.2559623626,0.1121770034,0.001607394,0.7115732369,0.0005592841,-0.060297786,0.1652278659,2.9791855204,-0.203745109,0.1652278659,11,0.1374222044,-0.105769231,0.256838117,0.2703089177,0.0365652156,0.1797505503,0.3019192823,0.151748041,0.1766768634,0.5744807172,0,3.4294560466,0.1300944852,1.9411121904,-0.17016156,19.711436711,3.6944847052,0.147895107,0.0,0.0,1,0.2553921934,1,1.0,2.0047004402,5.0,-0.012524873,0.1627340914,-0.158876216,0.1160864029,-0.025108745,-0.613138602,-0.172368353,-1275.630449,0.1055571398,9.7919971765,0.0023332778,0.0034208699,0.008273717,-0.029970386,0.0111965896,0.0236143936,0.0,-0.002235886,7.3747584237,-0.109387355,2.0,9.3517097174,0.1214430697,0.4419601267,0,0.3931827157,0.0769230798,0.0355637982,0.0438912316,1.1187459377,3.4192938533,1.5875283e-06,1.0500000393,1.3919970838,1.9376558813,0.0795055444,0.0500385422
14526,0.4751911146,0.0571750075,15.013582285,0.0116707747,0.4185564208,2.1573741442,0.1331390788,0.1646397665,0.4587024425,0.0083257183,0.2308536762,0.1490304152,2.1649484536,-0.066605937,0.1490304152,11,0.0139095054,0.0709382151,0.2126508186,0.008955598,-0.034586642,0.11714841,0.0883107456,0.0654411388,0.1119514494,0.614369478,0,2.5029372073,0.067634976,1.9666587283,0.085156388,125.70406411,4.643008161,0.2241100219,0.0,0.0,0,,0,0.0,0.7879818855,3.0,-0.038748385,0.0157516404,0.0117914077,-0.568128433,-2.526639111,1.162120128,-0.199846408,-13.63265996,0.0261787142,12.095800086,0.0065544231,0.0296653665,0.0526060312,0.0461235602,0.0023052671,-0.009075041,2.0,0.001686747,-0.760160616,0.0384615399,5.0,11.105417647,0.7652744471,0.8737145346,0,0.0738213172,0.0708661452,0.0274318714,0.0337510771,1.0189357894,7.7125245497,2.063388e-08,1.4130557e-08,1.1426100245,1.305557668,0.0263493782,0.0483649495
15828,0.7419980573,0.0414168483,-0.511577826,0.0161116767,0.4609661394,1.1115212072,0.0523889582,0.3531629371,0.5310414001,0.159248269,0.3642733643,0.1742581243,4.4008908686,-0.140854181,0.1742581243,4,0.1157017505,0.4193548387,0.3268002643,0.2119672163,0.0906665009,0.1648943516,0.1808125252,0.1445370595,0.3463512609,0.4744173909,0,2.6611990297,-0.080339903,1.6067921913,-0.210997949,16.095280499,3.4702889508,0.1956044802,0.0,0.0,1,0.7197358767,0,0.0,0.8156661459,4.0,-0.467760569,0.1283105586,-0.257756034,0.2545312178,106.56622724,0.9730771991,-1.264605728,-161.5238945,0.0651922914,10.362019382,0.0048696143,0.0028371332,0.0045997016,0.0914651677,0.0778415921,-0.00502,0.0,0.0015931724,-0.09945184,-0.013328398,3.0,6.9603477291,0.0704783402,0.0874348032,0,0.163137119,0.0588235296,0.0271101948,0.0200124614,1.0907523761,0.4280988652,4.7426798e-06,3.1500003399,0.5728012667,0.3281012911,0.1537214654,0.0436556337
15991,0.10284914,-0.047398136,33.623499142,0.0,0.0433279356,0.0187316732,-0.466086326,-0.255793226,0.0875668449,0.0080515298,0.431670282,0.1039856924,0.3758079409,-0.065210731,0.1039856924,3,-0.239674345,0.1827956989,-0.696623034,-1.323640739,0.0293611527,0.1910401648,-0.333072788,-0.141488414,-0.381008824,0.430320509,0,2.6010638298,-0.629405628,2.2978723404,-0.497140144,0.7341337907,1.5735294118,-1.067499257,0.0,0.0,0,,0,0.0,0.0948241802,1.0,-3.441216642,-0.896935667,0.1092590415,-30.83066979,-0.735132266,-0.562670871,-9.739441478,-693.9233998,0.0328427875,11.753050019,0.0,-0.065900168,-0.078542781,-0.063745905,0.2980071064,-0.435207268,1.0,0.0029707369,1.9416069542,0.1597689139,4.0,12.785062397,0.4310787443,2.1975212511,0,0.4307249558,0.125,0.0583810658,0.0806888853,1.0323223072,9.0281765563,4.5369712e-08,1.0263717e-08,0.8419422049,0.7088666763,1.0278721322,0.1347281881
44601,0.4528317994,0.0796123582,44.503998119,0.0178169917,0.4357563454,1.5283058584,0.1685972027,0.1307001046,0.6861361443,1.0135603589,0.1396725331,0.0381651765,0.4013582557,0.047659281,0.0381651765,10,0.0320692247,0.1069896543,0.1338734736,0.0527623624,0.0231059644,0.078717951,-0.128710964,0.1496676159,0.122198393,0.5466505956,0,1.7592845291,-0.091245669,0.9517146829,-0.149037922,286.30322985,6.7025473499,0.2672687542,0.0,0.0,1,0.0072314735,0,0.0,1.2887247114,5.0,-0.014853901,-0.076290887,0.0989855441,-0.496926308,-0.048868923,0.3972800145,-2.918635838,-1.234509973,0.0439818798,13.721426089,0.0012715972,0.0186683655,0.0356528111,0.001951334,0.0182244835,0.0297093582,0.0,-0.000597015,0.3033832501,-0.046554735,6.0,12.926176642,0.6286141985,0.5262839575,0,0.4338735429,0.0461538471,0.0227049955,0.0214113811,0.622142222,1.2997797593,1.0841687e-08,4.1616826e-08,1.2206890065,1.4900816505,0.0999703409,0.030957613
