mom1,firms,clusters
0.084507042253521,53065,7
0.5495867768595042,45728,0
0.1525762881440722,46077,3
0.0297096556380824,52329,5
-0.0150960658737419,82694,6
0.0079464007478964,22111,3
0.078093379181432,46886,8
0.0167735569807596,12558,2
0.0360360360360361,46923,8
0.0183250556602156,47002,2
0.0573131160572335,12650,5
0.024,24053,8
0.0246815286624202,26825,7
0.0004130524576619,47379,2
0.0284376045500167,44134,7
0.2450980392156863,47619,9
0.0997150997150997,47715,5
0.0066614697753526,17750,6
0.1164560402228562,59045,2
0.1363636363636364,48072,3
0.1272203552568411,48144,6
0.1677852348993289,89456,9
0.1092077087794431,49488,9
0.0275618374558301,12781,6
0.0978576361150367,48486,8
-0.0496915729740625,48523,2
0.062551440329218,48961,8
0.146067415730337,50286,1
0.1008335574079053,60943,7
0.0380538189725467,65330,2
-0.0100911746481366,50876,6
0.0508720930232557,81678,2
0.0154903807630726,21178,8
0.0730337078651683,50017,0
0.0224625623960066,56223,2
0.2386872202884138,59774,9
0.0553846153846153,33849,8
0.1145590897336437,66245,8
0.0483451097062104,23835,2
-0.0284860207490768,50623,2
0.052999340804219,50789,6
0.0,51263,4
0.0363175675675675,15069,1
0.1028009535160905,51423,6
0.0016017619381318,45751,6
0.0233243309599804,34032,6
0.1622448979591837,39538,9
-0.0149561407533146,43449,8
0.0868342964235515,89915,8
-0.0584572812175717,17478,8
-0.0116438851522384,81061,3
0.0148601398601397,52250,9
0.0352921864740642,17005,3
-0.0264831733549206,22752,5
-0.1626313385107356,42796,9
0.0747638204583465,53074,8
0.0707816169070782,87437,4
-0.0178461538461538,89857,3
-0.1613491340018232,53373,4
0.0400567174760722,24010,5
0.0642201834862383,53859,5
0.0329451860266969,54253,5
0.0165717907494435,22592,3
0.0195964073253236,24248,6
0.1136141038197844,54704,1
-0.0269627279936557,76591,8
0.0751086281812538,42614,6
-0.0580399093471891,22779,8
0.2128359846407019,28345,3
0.0487225193107545,65365,2
0.0159219311761686,69550,9
0.0015867978419548,84372,7
0.018970189701897,13303,1
-0.259860788863109,55993,4
0.0788288288288288,78900,6
0.0038510911424902,25590,1
0.0217090069284064,52337,3
0.0394353050985882,34497,1
-0.1190223166843784,56945,1
-0.0113686051595978,64450,2
-0.0246575342465753,47466,5
0.1277108433734939,60986,0
-0.0493858109801954,21207,6
0.1527987897125566,34673,2
-0.0053144375553586,61815,9
0.0322321172076989,64311,5
0.2838489353153877,28118,8
0.0666417072257581,44206,5
0.0125211505922167,38762,2
0.0104328869511056,23931,5
0.0612987603775729,58246,2
0.0188110201973523,24766,5
0.0459122029802658,58318,1
-0.0002802690582959,58334,2
0.0360298177802318,90458,6
0.0394038383013475,34817,7
0.0227690892364305,34833,9
-0.009452766368688,72611,3
0.0455246913580247,58975,9
0.056066176470588,67029,5
0.048478260869565,23026,5
0.0585491019360859,24440,6
0.1024734982332153,13610,1
0.0338103254769921,25232,8
0.0618332674832082,60098,5
0.1437007874015747,60186,0
0.1018131101813111,91531,2
0.0098328416912487,77157,9
-0.0417295266289032,44230,9
0.069681379185847,22509,2
0.0678767541183649,60506,2
0.0422226929322884,86136,6
0.0276696930393429,61146,4
0.0981978668628171,61269,1
0.0895216263497618,41355,6
0.1864969562811289,61496,3
0.0656514382402706,22517,7
0.0027061361807942,13856,6
0.4344344344344344,50550,9
-0.1287284144427002,62341,0
0.0106891701828411,21936,3
0.0222175201015659,21776,6
0.0121923684804696,52898,6
-0.0649291266575218,13901,9
0.0919892679187428,13928,3
0.1400691160421971,62958,9
-0.060183486238532,63125,8
0.0373831775700934,89968,4
0.2837078651685394,24459,9
0.2011586739620212,80185,0
0.0779185022026431,63715,6
0.03451717541379,18163,8
0.0209762791609489,55511,5
0.0266247726145196,23712,6
0.081360946745562,54148,8
-0.0045322925846659,64929,6
0.1027445460942997,64961,2
0.0453648915187376,65008,1
-0.1017964071856286,65270,9
0.0503120621576866,69649,2
0.056497175141243,66683,0
-0.0086821303615395,65700,6
0.0586552418165744,24942,6
0.0275035260930887,58771,7
0.2504638218923931,76711,6
0.06826801517067,76282,2
0.0303030303030302,80294,2
0.0786046913151838,84381,2
0.0323969944117203,35991,5
0.0384029259372142,36003,3
-0.0762483130904183,67847,8
0.0747353124351255,27633,1
0.0303425491218918,68196,2
0.0592758207463965,36281,2
-0.1530880420499343,88518,4
0.0424409844299347,85926,1
0.117241379310345,41574,4
0.0326133909287258,51625,5
-0.0050251256281406,50243,2
0.0072923272035509,88742,1
0.043891789273849,36468,8
-0.0590277777777777,49138,0
-0.231527093596059,70704,9
0.0255803955288047,65402,1
0.0528652174378003,60206,7
0.0176573426573425,71176,2
0.017625231910946,26614,2
0.0435865504358656,15720,2
-0.0288555063222738,71475,8
0.0602471678681773,18411,6
0.0323012232415902,58683,2
0.0731707317073171,66093,3
0.0880253766851706,71985,8
-0.1438060445034871,72304,4
0.0956894606183704,39220,2
0.0609454545454544,43481,1
0.0869336143308745,43350,2
0.0507246376811594,18438,1
0.1535763009160007,72726,1
0.0175070762134395,36898,6
0.0829145728643214,72980,1
-0.0197589051028731,73139,8
0.0182882223847842,73219,9
0.050909090909091,52396,0
0.1368124118476728,47861,1
0.0471204188481675,65429,0
-0.0056109725685785,43334,8
0.0682093367415579,52038,5
0.0952669902912621,65752,1
0.0330578512396695,74836,4
-0.1750018252172008,74908,3
0.0137395459976106,57007,1
0.0216952573158426,43123,2
-0.0664157214108671,44329,5
0.0238095238095239,63773,7
0.0337768679631524,75460,2
0.4357798165137614,84375,0
0.0932603360392674,51369,8
0.0443637171717172,15579,8
0.088,23579,7
0.0146658886643906,62092,8
-0.1416258238972453,93423,3
0.0828770532603284,14795,2
0.0125408942202835,14816,2
0.1024537236332328,76946,8
0.1265025758443045,55001,1
0.0695548961424332,92583,3
0.0474777448071217,59600,9
0.0232322045984172,76185,5
-0.0741616509028375,77730,5
0.0486300557466492,91103,5
0.0328744606533799,17929,7
0.0998307952622672,77973,9
0.1392931392931395,78044,1
0.0375891121192482,24985,5
0.0001234255295488,48725,5
0.1155115511551154,63781,0
0.0027287149656267,78749,3
-0.0712820085470086,92655,6
0.0362644415917843,78829,7
0.0097758301028147,87447,3
-0.1592481203007518,78960,8
-0.1052631578947367,79039,9
0.0482185927350589,17830,6
-0.0913107511045655,14040,3
0.1011904761904762,79338,3
0.0508530727182374,67360,6
0.0509797917942438,59619,7
0.0948861366360367,16555,7
-0.251578947368421,79573,0
0.0288421635080922,79637,6
-0.0252237591537834,79776,6
0.0859060402684563,43553,5
0.0706658291457287,79864,3
0.0216974169741697,80128,7
0.124232984046068,27043,6
0.2613390928725703,81116,9
0.0694883133291219,57808,2
0.0707257345132743,15202,5
-0.0576797290003692,53225,2
0.0328358208955223,24969,7
0.0070722472869162,46068,6
-0.002354172116139,42059,1
0.0696920583468394,79066,4
-0.0250240598773505,62498,5
0.0413829229963331,66384,7
-0.0782715042804729,38033,1
0.0528316229570506,39917,1
0.1385433891724783,25419,7
0.0194915254237286,38156,1
0.0282173498570066,58819,6
0.0890173410404624,42286,2
-0.0001854427445525,84403,5
0.0317350810624352,27983,8
0.3853211009174311,59483,0
0.169255490091055,88857,5
-0.0563808841954537,38295,4
0.0834752981260646,84129,2
0.0786964565248327,90756,6
-0.0508666164280332,13600,8
0.0741295394983152,72996,6
0.0837758112094395,87426,2
0.0069673698284098,88664,5
0.0524948024948026,15318,7
-0.0733944954128439,14318,8
0.0342530922930541,80072,7
0.0372620252913267,85586,1
0.0145833333333333,35917,7
0.0582627118644067,13508,3
-0.20625,90537,0
-0.0476190476190476,10028,4
0.0328150424877959,10138,5
0.0084868707384302,10107,8
0.1005235602094238,13983,9
-0.1736881801530008,10200,8
0.014341590612777,10302,8
0.0576923076923077,10363,9
0.1205230244457078,10333,4
0.1268115942028984,10382,1
0.0801713586291308,10397,2
