mom1,firms,clusters
0.0208333333333332,80393,3
-0.081081081081081,80357,3
0.5853658536585367,80465,9
0.0166520595968449,80599,8
0.4285714285714286,80553,8
0.0833333333333332,80540,4
0.0,80659,7
3.2115384615384617,80763,5
0.9523809523809524,80803,4
-0.0384615384615384,80667,0
0.21875,81011,4
-0.1146788990825687,80975,9
-0.0129870129870129,81078,8
1.7692307692307692,81181,5
-0.0357142857142857,81300,3
-0.1692913385826772,81655,0
0.3333333333333332,81755,4
1.477272727272727,82271,5
0.0540540540540539,82533,4
0.5698529411764706,82535,9
0.9128630705394192,82522,5
0.0,82554,4
0.8333333333333333,81605,5
0.0,82738,5
0.0080645161290322,82777,6
-0.319431279620853,50906,8
0.0357142857142858,10568,0
-0.0114285714285714,11157,4
-0.1967213114754098,50032,4
0.2286585365853659,47730,0
0.2041884816753927,13777,5
-0.3233532934131736,78120,9
0.162162162162162,38746,0
0.6818181818181819,60871,9
0.3472222222222223,14198,8
-0.0204081632653061,45583,1
0.3328779599271403,14702,9
-0.04,15537,2
0.1178861788617886,68830,4
0.4621676891615542,85631,8
0.0173913043478259,49373,6
-0.1456692913385826,18570,2
-0.0461538461538461,18973,2
0.0,19271,6
-0.1090686274509803,29938,2
0.0120481927710842,10866,3
0.1036414565826331,20248,6
-0.0974155069582505,25320,0
-0.1666666666666666,21726,1
-0.1878787878787878,21742,0
-0.024390243902439,11267,6
0.1097560975609757,22825,6
-0.0890688259109311,65533,2
-0.0194174757281553,80416,3
-0.0566037735849056,24572,4
0.6119402985074627,24951,8
0.3611111111111111,69307,5
0.3432835820895523,26201,9
3.2417433257377555,82165,9
-0.1033057851239669,65541,6
0.0,27562,3
-0.0357142857142857,27677,8
-0.01010101010101,27909,3
0.0405405405405405,63546,5
-0.1043643263757115,49154,4
-0.1816881258941345,19350,0
0.2749003984063745,76769,6
-0.0944625407166124,49429,7
0.103030303030303,61313,2
0.064516129032258,80971,0
0.1627906976744186,12008,5
0.0122137404580153,31500,4
-0.1111111111111111,87581,4
0.3195876288659793,32839,8
-0.0798258345428156,33209,9
-0.0055865921787709,50788,1
0.6536312849162011,33690,9
0.2244897959183673,34121,4
-0.1016949152542372,34287,7
-0.1186186186186186,77462,6
-0.053639846743295,46295,2
0.1117647058823529,37058,4
-0.2879499217527387,26382,7
-0.0119047619047618,47036,4
1.13953488372093,62228,5
-0.1390624999999999,40838,1
0.1714285714285714,21055,8
-0.0888888888888889,38608,3
-0.0872483221476509,47888,2
-0.0492610837438424,62367,7
0.0,40468,4
-0.0119047619047618,39765,2
-0.1594202898550725,32678,6
-0.1411764705882353,23077,1
0.1666666666666667,41663,8
0.2424942263279446,27828,8
-0.0185185185185184,32803,1
0.020971302428256,66181,4
-0.5892307692307692,32870,3
0.0141843971631205,66587,1
0.1774193548387097,42922,2
-0.1669316375198728,12503,8
0.375,45744,4
0.0666666666666666,46149,0
0.0232558139534884,46237,0
-0.0097087378640776,47133,1
-0.0425531914893616,57437,7
0.0493827160493827,47571,4
-0.0227272727272727,50374,3
-0.1402877697841726,16678,4
0.4210526315789473,48291,9
0.2146118721461187,48347,2
0.1079429735234216,64282,4
-0.2945508100147275,26294,7
-0.1366279069767442,53612,0
0.0714285714285714,61399,4
-0.1586345381526104,13100,1
0.1311475409836064,51984,4
-0.1290322580645161,27617,0
-0.0476190476190476,64637,1
0.0587431693989071,60097,4
-0.03125,60548,7
-0.0388888888888888,55191,8
-0.0169491525423728,54843,5
-0.0256410256410256,68582,2
-0.0890804597701149,47773,7
0.1605839416058394,56339,8
-0.0153846153846153,56777,2
-0.0555555555555555,57745,0
-0.0988372093023255,57809,7
-0.03125,57817,7
-0.1031746031746031,57884,3
-0.0526315789473684,79611,7
