firms,mom1,clusters
48709,-0.0943396226415094,23
47183,-0.0703125,0
61217,-0.0393700787401575,17
45356,-0.0440528634361233,9
37575,-0.0241935483870967,17
37612,0.0,15
47917,0.005181347150259,4
58069,-0.0681818181818182,12
19502,-0.034965034965035,27
41427,-0.1146666666666667,14
51086,-0.0210526315789473,11
53671,-0.125,21
41662,-0.0576923076923077,4
52564,-0.0675675675675675,10
46754,-0.1111111111111111,5
39116,0.0,4
50032,-0.024390243902439,2
17304,-0.0365168539325843,23
47730,0.043010752688172,8
48581,-0.0795454545454545,26
44652,-0.0265151515151514,27
44548,0.0506329113924051,18
60871,0.037190082644628,23
45583,-0.0760233918128655,20
57920,0.0179640718562874,2
10559,0.0070588235294117,18
58018,-0.0263157894736841,1
49373,-0.0794520547945205,8
27289,-0.0634920634920634,7
47642,-0.0155038759689922,17
29938,-0.0515021459227468,5
10866,0.0458333333333333,2
29970,-0.0060975609756097,11
44257,0.0419161676646706,11
45655,-0.0972222222222222,11
49402,-0.0109890109890109,10
25320,-0.0615079365079365,26
30314,-0.0186666666666667,11
60062,-0.0507246376811594,26
40352,-0.0120481927710843,14
26841,0.0729166666666667,27
48047,-0.0362694300518134,18
60417,-0.0232558139534884,4
30568,-0.0454545454545454,26
43000,-0.045045045045045,9
45460,-0.2481751824817518,9
41152,-0.2424242424242424,3
31026,-0.0246913580246913,18
19828,0.0769230769230768,27
59707,0.0813953488372092,17
22699,0.0422535211267605,21
49154,-0.0124481327800829,15
19350,-0.0884353741496598,24
57883,-0.0333333333333333,3
49429,-0.1071428571428571,21
44943,-0.1228070175438597,11
61313,-0.0928961748633879,13
19254,-0.1158536585365853,12
56960,-0.0813397129186602,23
31421,-0.1411042944785275,4
28644,-0.0555555555555555,14
31595,-0.0681818181818182,26
42729,-0.1864406779661016,3
40141,-0.0242718446601941,27
31579,-0.125,7
19713,-0.026086956521739,1
50788,-0.05,8
53196,-0.0561797752808989,16
44708,0.0893854748603351,11
58405,0.0930232558139534,9
18550,0.0167865707434051,23
18569,-0.119205298013245,14
46295,-0.0454545454545454,11
26382,0.0748299319727892,28
60070,0.2142857142857142,3
54500,-0.0888888888888889,2
59010,0.0264900662251654,19
44628,-0.0153846153846153,11
41304,-0.1016042780748662,15
40838,-0.1127596439169139,8
59547,0.0654205607476634,11
47888,-0.1589743589743589,19
55474,-0.05,26
53794,-0.0909090909090909,19
49189,-0.1485148514851485,0
32475,-0.0557768924302788,26
32571,-0.2631578947368421,3
39765,-0.0466321243523316,23
32600,-0.0952380952380952,3
21653,-0.0930232558139535,20
32678,-0.21875,27
23077,-0.0396039603960396,2
27828,-0.1211180124223602,1
32782,-0.1607142857142857,11
32803,0.0851063829787233,4
32870,0.0288065843621398,23
42366,0.0330578512396693,21
32926,-0.0579710144927536,11
12503,-0.1122448979591836,3
61583,-0.0992063492063491,21
48100,-0.1219512195121951,4
33267,-0.1162790697674418,21
12626,-0.0217391304347825,4
12749,-0.1089494163424124,23
57437,-0.0488888888888888,0
60513,-0.1111111111111111,3
40459,-0.1366906474820144,11
48717,-0.03125,27
50374,-0.1052631578947368,7
28337,-0.2079207920792078,10
45815,-0.1971830985915492,0
26294,-0.1153846153846154,2
61399,-0.0421686746987951,4
40053,-0.130718954248366,27
12976,-0.024,20
13012,-0.1623036649214659,18
51270,-0.174863387978142,15
39538,0.290909090909091,7
13100,-0.0544554455445545,26
60097,-0.1852941176470588,24
22891,-0.0202020202020202,10
60548,-0.0632911392405063,2
52636,0.0683760683760683,21
55191,-0.0984455958549223,15
20095,0.0208333333333332,18
47773,-0.028169014084507,16
34665,-0.0725806451612903,22
54586,-0.125,27
27318,-0.1330049261083743,22
53639,-0.1527093596059113,9
45313,-0.0795454545454545,24
35051,-0.140625,22
54949,0.0530303030303029,27
35182,-0.015625,26
18403,-0.0168269230769231,26
61460,0.0,4
35238,-0.1012658227848101,1
27713,0.0280373831775699,10
49576,0.0636363636363637,27
13936,-0.1712707182320442,14
53153,-0.1160714285714286,24
43748,0.0074074074074073,20
42884,-0.1111111111111111,18
42307,-0.1770833333333333,1
52097,0.0,29
44935,-0.0787401574803149,15
21119,-0.0212765957446808,20
25312,-0.0281124497991968,11
20343,-0.0687499999999999,14
38711,-0.0138888888888888,25
25718,-0.0572916666666666,3
40723,-0.1321428571428571,27
41320,-0.1057692307692307,13
58544,-0.2083333333333333,1
42999,-0.1117647058823529,5
61647,-0.2054794520547945,19
47191,0.1142857142857143,3
36249,0.0295857988165679,17
36396,-0.0169491525423728,11
50948,-0.1521739130434782,28
51625,0.0597609561752987,19
36409,0.0,0
38949,0.0333333333333334,11
42585,-0.0676470588235294,8
36740,-0.024390243902439,15
36927,-0.0909090909090909,16
