Firm Name,Momentum_1,Cluster Index
66368,-0.175438596491228,12
37807,-0.0673987126088603,23
80179,-0.0512880562060891,24
80857,0.0058130640966802,26
59627,-0.0759999999999999,4
81190,-0.0901287553648069,20
55976,-0.0761884990658086,24
82924,-0.0036144578313254,6
82991,0.0628532779361321,22
83011,-0.0660792951541848,7
15456,0.1094324213964885,29
40539,0.0660542432195976,7
34228,-0.0146281999187322,24
10025,0.3363255535607419,5
90609,-0.0211161387631975,1
75494,-0.2217484008528785,20
69411,0.2622699386503069,21
10182,-0.0294962150874446,30
10259,-0.0371155885471897,21
10501,-0.0302511415525115,3
77420,-0.1018726591760299,4
10514,-0.2313019390581717,10
10659,0.0822610294117647,26
10645,-0.147628590514362,10
10709,0.0064412238325282,4
75527,0.0632183908045975,22
89105,-0.279708197350739,9
11132,-0.098677517802645,2
71837,-0.0009920634920634,7
11154,-0.0560810810810811,28
11343,-0.0743122543765629,24
71685,-0.0558510638297872,19
11379,0.1094527363184079,9
11426,-0.0763636363636363,4
11278,-0.0288028802880287,19
11174,-0.243722304283604,12
11745,0.0142142857142857,22
75100,-0.0433070866141733,30
11081,-0.1136549468520032,4
12266,-0.1132075471698114,21
75489,-0.1121149897330595,7
76008,0.0154320987654319,24
11839,0.0952380952380951,19
12106,-0.0628637951105935,23
75905,0.0824742268041238,14
76052,0.0368574199806013,20
76076,-0.0844854070660523,10
84184,-0.0981509433962264,12
76322,-0.0911111111111111,6
76671,-0.053480866758875,9
76217,-0.0512295081967213,12
79315,-0.0456963249516441,9
76673,-0.031425364758698,20
77007,-0.0244786944696282,2
86590,-0.0667853962600177,3
76839,0.1470383275261324,1
77045,-0.0695652173913043,3
77357,-0.0463505594033032,23
77403,-0.0702772404900063,20
85837,-0.0615384615384614,22
77501,-0.1209328568741772,26
77505,-0.3881510222354872,22
77516,0.0267326732673267,29
77530,-0.129054054054054,11
77584,-0.051827083830905,15
77606,-0.0421177266576453,29
77699,-0.0782881002087683,13
77830,-0.0108630054315026,4
77862,0.0243386243386243,26
78216,-0.1096774193548387,23
78034,-0.0478099055253364,23
78050,-0.0869304556354915,20
78200,-0.1107382550335571,10
78209,-0.1511254019292603,4
78816,-0.1175059952038368,26
78881,0.0051594746716696,12
78975,-0.4900891972249752,1
78999,-0.0697155605131065,13
79007,-0.07837384744342,11
78963,-0.1604892512972573,12
78953,-0.1009389671361501,28
78972,-0.0356731875719216,20
79156,-0.1046831955922864,23
79195,0.0217305412880284,29
79307,0.1449468085106382,5
79411,-0.0796875000000001,29
79667,-0.0816438356164382,29
79683,-0.1857142857142857,22
79881,-0.1640937678673527,22
79922,0.1181571815718156,23
79847,-0.0352331606217616,8
79797,0.210126582278481,9
80114,-0.1333333333333333,13
80274,0.0178359096313911,13
80233,-0.0252857637686179,11
88643,-0.0892667375132837,14
80320,0.0846905537459283,25
80432,-0.0346650998824912,15
80544,0.0509181969949916,8
80592,-0.0536294691224269,23
81165,0.0454189506656226,20
81212,0.0,9
81553,-0.0788235294117647,22
82160,-0.070619006102877,25
82598,-0.160056657223796,15
83170,-0.0336134453781512,12
83275,-0.0083333333333333,23
83399,-0.0758293838862559,17
83351,0.0146484375,15
83391,0.1087378640776697,15
83429,-0.0849056603773585,11
83808,-0.0492537313432835,27
83861,-0.0398899587345252,9
83956,-0.074074074074074,5
83976,-0.0445607071982681,9
84084,-0.1732217573221756,24
84275,-0.0872198667474258,29
84255,-0.0488505747126436,4
84416,-0.2552316890881914,21
84588,-0.0681940700808625,15
84519,-0.2453222453222453,21
84534,-0.0713853904282116,12
84625,-0.13015873015873,5
84721,-0.1031321619556913,11
84761,-0.0129390018484288,22
84730,-0.1875,22
84834,-0.1338199513381995,4
85019,0.0362694300518136,15
85232,0.0045855379188712,29
85314,-0.0193548387096774,6
85390,-0.0704412989175686,26
88449,-0.0476190476190474,22
85402,0.0292983808789513,11
85477,-0.1937499999999999,26
85464,-0.106951871657754,6
85550,-0.0552486187845303,20
85819,-0.0053547523427041,30
85900,0.0116959064327484,4
86055,-0.0699300699300699,29
86189,0.0047095761381474,7
86187,-0.0529247910863509,21
86139,-0.1070639200778004,20
86580,0.0399248473461719,10
86594,-0.0520673813169983,25
86878,-0.0676835081029553,21
86881,0.019543973941368,29
86959,-0.0688073394495414,14
87057,-0.2049180327868852,22
87149,-0.030476686637145,26
87153,-0.0741324921135646,23
87255,-0.0587412587412586,14
87356,-0.0337477797513321,25
87333,-0.131111111111111,20
87343,-0.105911330049261,24
87390,-0.143730886850153,5
87432,-0.0988593155893535,29
87377,-0.1470937129300118,21
87498,0.0231958762886599,5
87756,-0.4512195121951219,12
88172,0.0405405405405405,19
88377,-0.0656934306569342,14
88458,-0.1003787878787879,10
88543,-0.2038043478260869,23
88948,-0.1565533980582524,5
89301,-0.0092857142857143,5
65832,-0.0607321131447587,14
21020,-0.1345397324940992,20
11499,0.0949999999999999,20
62500,-0.1311053984575835,18
