Firm Name,Momentum_1,Long Short
MHBB_96-L^J15,-0.0070422535211267,0
LMHU_17-L,-0.0068259385665528,0
MOMT_25-L,-0.0066666666666665,0
FSLE_G9-L,-0.0055762081784387,0
HRG_P6-L,-0.0050825921219822,0
MCUD_32-L^H22,-0.0046349942062573,0
NZEH_36-L,-0.004310344827586,0
LUKC_39-L,-0.0017699115044248,0
FYUQ_12-L^K10,-0.0017241379310344,0
PTRC_39-L^E16,-0.0016806722689075,0
BBTU_63-L^C18,0.0,0
BQMM_18-L^C11,0.0,0
BUNQ_03-L^K12,0.0,0
FSFY_01-L^H12,0.0,0
FSQG_08-L^E11,0.0,0
FSVT_07-L,0.0,0
FTAK_00-L,0.0,0
FTJK_00-L,0.0,0
FTZA_89-L,0.0,0
FUIW_96-L,0.0,0
FWSD_66-L^I15,0.0,0
FZGS_60-L,0.0,0
LJWT_19-L^G13,0.0,0
LKED_19-L^L15,0.0,0
LKOM_50-L^K14,0.0,0
LKXH_13-L^L15,0.0,0
LLOR_22-L,0.0,0
LLVM_66-L,0.0,0
LMNQ_40-L^L10,0.0,0
LNTF_52-L^L10,0.0,0
LNUP_82-L,0.0,0
LOIU_72-L,0.0,0
LOSA_09-L^D20,0.0,0
LQSN_80-L,0.0,0
LQUL_G7-L,0.0,0
LQUZ_X0-L,0.0,0
LQXS_X2-L^K16,0.0,0
LQYE_79-L,0.0,0
LRRH_10-L^F20,0.0,0
LTBQ_59-L^A22,0.0,0
LTBT_65-L^A11,0.0,0
LTCD_73-L,0.0,0
LTGY_56-L^I11,0.0,0
LUSY_73-L^A14,0.0,0
LWFG_88-L,0.0,0
LWFK_04-L^G12,0.0,0
LWFL_97-L,0.0,0
LWNF_29-L,0.0,0
LWWC_Q7-L^I19,0.0,0
LYVG_B7-L^F16,0.0,0
LZOI_36-L,0.0,0
LZRK_66-L^E16,0.0,0
LZYO_00-L,0.0,0
MBVX_01-L,0.0,0
MCUF_18-L,0.0,0
MDFZ_M0-L,0.0,0
