firms,age,agr,bm,bm_ia,cash,cashdebt,chatoia,chpmia,convind,egr,ep,herf,lev,lgr,ms,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
MDVZ-L,8.0,0.2544248874334834,1.483644939016808e-06,0.4633532130764622,0.0956523479837452,-0.0084583952682741,0.0068748582777628,-0.2168045553269039,1.0,0.3873551049216822,-3.290150401555686e-09,2.661842268029256e-13,3.698225820478049e-07,-0.0938792929712043,1.0,0.1439567313508129,-0.0895072075092188,-0.0895072075092188,-0.0895072075092188,-0.0113636363636363,0.0114942528735633,0.0232558139534884,0.0232558139534884,0.0864197530864196,0.1139240506329113,0.1428571428571428,0.1733333333333333,0.0864197530864196,0.1354838709677419,0.0666666666666666,0.0864197530864196,0.0476190476190476,0.0476190476190476,0.0797546012269938,0.0476190476190476,0.0232558139534884,0.1139240506329113,0.0864197530864196,0.1578947368421053,0.3333333333333332,0.3333333333333332,0.4666666666666668,0.5438596491228072,0.5438596491228072,0.517241379310345,0.4426229508196722,0.2307692307692308,0.4789915966386555,0.8526315789473684,0.4666666666666668,0.4666666666666668,0.3134328358208955,0.0999999999999998,0.0731707317073171,-0.0687830687830687,0.0,-0.1372549019607842,-0.1775700934579439,-0.1287128712871287,-0.0588235294117647,0.1733333333333333,-0.0687830687830687,-0.169811320754717,-0.2280701754385964,-0.3125,-0.3576642335766423,-0.2478632478632477,-0.3151750972762646
MDWD-L^J10,10.0,-0.1756051257712387,1.7365578113699077e-07,0.054233976097037,0.0172711571675302,0.097358266547937,1.450273529316917,0.0912849572528573,1.0,24.388888888888868,4.255896605545508e-08,1.7944547522187133e-13,4.86388183490915e-07,-0.3872666347534705,5.0,0.001833013948309,0.2970939681153619,-0.2904331671492536,-0.012837538733953,0.0,-0.0518518518518519,-0.1741935483870967,-0.1578947368421053,-0.189873417721519,-0.189873417721519,-0.1351351351351351,-0.0303030303030302,-0.264367816091954,0.4883720930232558,0.1327433628318586,-0.0724637681159419,-0.2470588235294117,11.8,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,31.0,41.66666666666667,63.0,63.0,63.0,41.66666666666667,41.66666666666667,63.0,63.0,63.0,41.66666666666667,41.66666666666667,31.0,31.0,20.333333333333336,20.333333333333336,20.333333333333336,20.333333333333336,17.285714285714285,11.8,24.6,24.6,24.6,24.6,24.6,13.222222222222223,15.0,15.0,11.8
MDWJ-L,7.0,0.1919420883299209,9.491454289008224e-07,0.2964250897182149,0.1227279788721454,0.1722904495051866,2.32338882427306,-0.0095097480686411,1.0,0.4833365440184936,9.442148032961429e-08,4.3134229146521645e-11,1.0602077706462305e-06,0.0523675516946042,3.0,0.0056506288204672,0.0267048802851497,-0.0440424078302941,0.0061988882744972,-0.0909090909090908,0.0,-0.2142857142857143,0.0999999999999998,0.2222222222222223,0.0999999999999998,-0.3125,-0.3529411764705883,-0.3888888888888888,-0.3888888888888888,-0.45,-0.45,-0.5416666666666666,-0.5217391304347827,-0.45,-0.3888888888888888,-0.3529411764705883,-0.3888888888888888,-0.5416666666666666,-0.3529411764705883,0.2222222222222223,0.375,0.8333333333333335,1.1999999999999995,1.75,1.75,0.8333333333333335,0.8333333333333335,1.1999999999999995,0.8333333333333335,0.5714285714285714,0.8333333333333335,0.8333333333333335,0.5714285714285714,0.5714285714285714,0.375,0.2222222222222223,0.0999999999999998,0.375,0.2222222222222223,0.5714285714285714,0.375,-0.45,-0.5416666666666666,-0.5925925925925926,-0.6071428571428572,-0.6333333333333333,-0.7105263157894737,-0.7105263157894737
MDWN-L^G09,9.0,-0.2450792369031997,2.7398201514725935e-07,0.0855665959591214,0.0077550474662388,-0.0200791440715227,2.16466714932456,2.571235719502235e-05,1.0,-0.543613707165109,-3.2634717845185495e-07,1.1117969837634896e-11,1.4744066292950212e-06,-0.1406186128900395,3.0,0.0029795067362433,-0.1343802154453042,0.1403868967458663,-0.2010468821119708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.5,-0.6666666666666666,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,-0.6666666666666666,-0.5,-0.6666666666666666,-0.75,-0.5,-0.75,-0.75,-0.8333333333333333,-0.8333333333333333,-0.8,-0.8333333333333333,-0.875,-0.9,-0.8571428571428572,-0.8571428571428572,-0.9230769230769232,-0.9230769230769232,-0.9285714285714286,-0.9473684210526316,-0.9545454545454546,-0.9565217391304348,-0.9583333333333334
MDWS-L,3.0,2.722536806342016,6.397847323418234e-07,0.1998094716679984,0.0036397104965903,8.614576493762312,0.0165194808726938,15.311456983348014,1.0,3.608984175599797,4.640547360844614e-07,4.5475710379931896e-15,5.902543825902525e-08,0.2072463768115942,2.0,0.0098297980752463,0.4853556485355648,0.4853556485355648,0.4853556485355648,-0.0208333333333333,0.0434782608695651,0.0909090909090908,0.0212765957446807,-0.04,0.1162790697674418,0.1707317073170731,0.0434782608695651,0.1999999999999999,0.4769230769230768,0.3714285714285714,0.3913043478260869,0.4117647058823528,0.4769230769230768,1.0,1.1818181818181817,1.0425531914893615,0.9591836734693876,1.526315789473684,1.6666666666666663,1.526315789473684,1.1818181818181817,1.526315789473684,1.6666666666666663,1.526315789473684,1.4,1.4,1.3414634146341462,1.4,1.1818181818181817,0.5,0.7454545454545451,0.846153846153846,0.5483870967741935,0.6842105263157896,0.846153846153846,0.92,0.8823529411764706,1.0425531914893615,1.1333333333333333,1.0869565217391304,1.526315789473684,0.5,0.714285714285714,0.1707317073170731,0.0909090909090908,0.6842105263157896,1.0,1.4
MDXD-L,8.0,0.1086066502830984,4.823118034098613e-07,0.1506295191912695,0.1520465242960246,0.4398799761512837,0.8100416742866915,0.007411711463908,1.0,0.1404505810094241,1.1161951223510604e-07,8.017332014263923e-08,3.890111950529762e-07,0.0715118556605242,4.0,1.5383247786456555,-0.0260517961276421,-0.0083276384027795,-0.0083276384027795,-0.0798590722254845,-0.0329358319136853,0.0271411338962608,0.1130718954248366,0.1867595818815333,0.1992957746478874,0.2891748675246026,0.2340579710144927,0.374495560936239,0.360223642172524,0.0460687960687959,0.1934127540294326,0.1884159106769016,0.0422276621787025,-0.0873526259378348,0.2747005988023954,0.3029839326702372,0.3711755233494365,0.4555555555555557,0.7324516785350967,1.005889281507656,1.2261437908496733,1.8718381112984828,1.778140293637847,1.81953642384106,2.0684684684684687,2.079566003616637,2.113345521023766,2.3326810176125243,2.4473684210526314,2.0851449275362324,2.0248667850799293,1.82890365448505,1.656786271450858,1.560902255639098,1.720447284345048,1.681889763779528,1.791803278688525,2.0963636363636367,1.8718381112984828,2.345776031434185,2.8616780045351478,2.378968253968254,1.931153184165233,1.8336106489184691,1.9565972222222223,2.547916666666667,2.7676991150442483,2.4543610547667347
MEAY-L^D12,7.0,-0.0581665891112145,9.783238245707709e-07,0.3055377170258282,0.0699228718610365,-0.1029271613342409,-0.0687760147966746,-11.844855172716658,1.0,-0.092743953294412,-6.799161715163657e-08,9.757295843470408e-17,6.599503791781867e-07,-0.0019042437431991,1.0,0.0077447114261327,-0.9610778443113772,-0.9610778443113772,-0.9610778443113772,0.0833333333333334,0.0,0.0588235294117645,0.1076923076923075,0.161290322580645,0.1428571428571428,0.2631578947368422,0.2631578947368422,0.2857142857142856,0.3846153846153846,0.1999999999999999,0.1076923076923075,0.161290322580645,0.125,0.125,0.125,0.161290322580645,0.125,0.0285714285714286,0.0909090909090908,0.0909090909090908,0.125,0.2631578947368422,0.6363636363636362,0.5319148936170213,0.4399999999999999,0.2857142857142856,0.2631578947368422,0.161290322580645,0.125,0.0588235294117645,0.1428571428571428,-0.0769230769230769,-0.1818181818181818,-0.1724137931034483,-0.1219512195121951,-0.0526315789473684,-0.0769230769230769,-0.0769230769230769,-0.0769230769230769,-0.1,-0.0769230769230769,-0.0769230769230769,-0.0526315789473684,-0.1818181818181818,-0.1724137931034483,-0.1529411764705882,-0.0769230769230769,-0.0649350649350649
MFST-L,8.0,0.1767651178732154,6.776940904578721e-07,0.2116488426838008,0.028020563420665,0.3980817181930826,0.8291592594450143,0.0011528054167714,1.0,0.171545869953317,1.267353689198737e-07,1.1294501774791553e-08,3.527270175325393e-07,0.1869244858531201,3.0,0.5604856616874859,0.0647685041212057,0.0540001608026587,0.1693894955102588,0.0,0.0793650793650793,0.1724137931034481,0.3465346534653466,0.3076923076923077,0.2363636363636363,0.2318840579710146,0.3076923076923077,0.2781954887218043,0.3255360623781675,0.2454212454212454,0.1525423728813557,0.3102119460500963,0.5280898876404494,0.4255765199161425,0.5596330275229355,0.6267942583732058,0.4166666666666667,0.4285714285714286,0.5280898876404494,0.6113744075829384,0.7085427135678393,0.8279569892473118,0.8478260869565215,0.8279569892473118,0.9318181818181815,0.8888888888888888,0.8836565096952909,0.7989417989417991,0.6585365853658538,0.6425120772946862,0.878453038674033,0.6504854368932038,0.5489749430523918,0.5144766146993318,0.7085427135678393,0.6190476190476188,0.8328840970350404,0.7708333333333333,1.0481927710843375,1.214983713355049,1.2516556291390728,0.9209039548022596,1.0543806646525675,1.0118343195266273,0.7616580310880829,0.8428184281842819,0.8181818181818181,0.8478260869565215
MGCU-L^K06,3.0,0.0497512437810945,2.497688157186765e-07,0.0780046359112342,0.1398104265402843,0.1570438799076212,1.2124195846064498,0.1119138297831295,1.0,0.0259067357512953,1.0091669321966728e-08,1.5575913437641124e-10,2.825667410150683e-07,0.0717703349282296,2.0,0.0552161079715338,-0.3794852759218015,-0.168643706589666,-0.2683741648106904,0.0833333333333332,0.0393700787401574,0.1578947368421053,0.1999999999999999,0.2692307692307691,0.1578947368421053,0.1,0.0731707317073171,0.1379310344827586,0.1999999999999999,0.1785714285714286,0.2222222222222221,0.5,0.6296296296296295,0.5,0.4666666666666668,0.6296296296296295,0.8333333333333335,0.736842105263158,1.2000000000000002,1.2758620689655171,1.2000000000000002,1.4444444444444442,1.64,1.3157894736842106,1.0625,1.1639344262295084,0.6499999999999999,1.2000000000000002,0.9411764705882352,0.4347826086956521,0.2692307692307691,0.189189189189189,0.1999999999999999,0.0645161290322582,0.1,0.1999999999999999,0.1379310344827586,-0.108108108108108,0.3469387755102042,0.6097560975609757,0.736842105263158,-0.095890410958904,-0.1999999999999999,-0.2584269662921348,-0.25,-0.25,-0.175,-0.2666666666666666
MGCV-L^H06,8.0,-0.1293909615734075,1.2349491638741754e-06,0.3856836956195131,0.0950522460515058,0.1338897348959691,0.8899468919170808,-0.1038977017233628,1.0,-0.1729498735172041,1.7254449342325154e-08,5.045145151075281e-10,1.049110859852427e-06,-0.0718480306274738,4.0,0.0379863298605623,-0.1773020003208467,-0.3125640678147013,-0.1519239734624351,-0.0508474576271185,0.2826086956521738,-0.0781250000000001,-0.2976190476190476,-0.3295454545454546,-0.1690140845070422,-0.1690140845070422,-0.5241935483870968,-0.5354330708661418,-0.5083333333333333,-0.6066666666666667,-0.6380368098159509,-0.7478632478632479,-0.7389380530973451,-0.7649402390438247,-0.764,-0.7611336032388665,-0.8264705882352941,-0.8244047619047619,-0.7907801418439716,-0.7814814814814814,-0.7830882352941176,-0.7510548523206751,-0.7121951219512195,-0.730593607305936,-0.7035175879396984,-0.7489361702127659,-0.7412280701754386,-0.7591836734693878,-0.7478632478632479,-0.7489361702127659,-0.76953125,-0.7972508591065293,-0.8304597701149425,-0.8201219512195121,-0.8150470219435737,-0.8,-0.7951388888888888,-0.7892857142857143,-0.7389380530973451,-0.650887573964497,-0.6628571428571428,-0.7765151515151516,-0.8264705882352941,-0.8179012345679013,-0.8238805970149254,-0.8479381443298969,-0.835195530726257,-0.8733905579399142
MGZC-L^D19,9.0,0.7374034003091189,-3.719704801114056e-08,-0.0116169113375219,0.0708566853482786,0.0668995448290462,0.2751286425630692,-0.0624309410258868,1.0,-1.0828908172516514,-1.6448069667426217e-08,8.030525980263156e-08,1.3438596001774874e-06,3.430350641885417,3.0,1.1984234936661466,-0.0017431779582422,-0.5462625369817946,-0.1758921666114242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021321961620468,0.0085836909871244,0.0021321961620468,0.0904872389791184,0.087962962962963,0.1217183770883054,0.172069825436409,0.4596273291925465,0.8076923076923077,0.7279411764705881,0.7602996254681649,0.6906474820143886,0.637630662020906,0.4920634920634921,1.0434782608695654,0.5986394557823129,0.6262975778546713,0.4199395770392748,0.3352272727272727,0.2176165803108809,0.1691542288557215,0.2702702702702702,0.2634408602150537,0.1352657004830919,0.2433862433862434,0.2771739130434782,0.2634408602150537,0.087962962962963,0.1058823529411765,0.0421286031042129,0.0151187904967602,0.1325301204819275,0.2176165803108809,0.323943661971831
MHAP-L^E10,5.0,0.0927850356294536,9.050972167080242e-07,0.2826685094791907,0.0185266947425621,0.6441767068273092,0.0253620866441114,-0.0256868108053811,1.0,0.0958154384097906,1.2588234735707468e-08,6.126488424077904e-14,1.9211969222575983e-08,-0.033175355450237,2.0,0.0443760202586159,0.0922045264040233,0.0922045264040233,0.0922045264040233,-0.0129870129870129,0.0405405405405405,0.0769230769230771,0.1240875912408758,0.1492537313432835,0.1492537313432835,0.2319999999999999,0.2520325203252034,0.2319999999999999,0.2419354838709677,0.2222222222222223,0.2222222222222223,0.2319999999999999,0.2622950819672132,0.2833333333333334,0.3275862068965518,0.3275862068965518,0.375,0.375,0.4528301886792452,0.5714285714285714,0.6041666666666667,0.7303370786516854,0.878048780487805,0.8333333333333335,0.7906976744186047,0.711111111111111,0.6739130434782608,0.7906976744186047,0.8333333333333335,0.6210526315789475,0.6382978723404256,0.375,0.2833333333333334,0.3050847457627119,0.3275862068965518,0.3508771929824563,0.3508771929824563,0.3050847457627119,0.3275862068965518,0.3999999999999999,0.4528301886792452,0.2622950819672132,0.2622950819672132,0.1323529411764705,0.1240875912408758,0.1846153846153846,0.2222222222222223,0.1159420289855073
