firms,absacc,acc,age,bm,bm_ia,convind,currat,ep,herf,mve_ia,pctacc,ps,quick,roic,salerec,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FTUP-L^D99,0.3980115331079738,0.3980115331079738,2.0,1.692506025044184e-07,0.10367776417759,1.0,1.5932400932400932,3.0538781776481766e-08,3.638708982979453e-10,0.1124851044199774,3.245136186770428,5.0,1.2173012173012172,0.0912428759316089,5.184535287311994,0.6670138274431333,0.0,0.0,0.0,0.0,-0.0071942446043165,0.0222222222222221,0.0615384615384613,0.0615384615384613,0.2432432432432429,0.1499999999999999,0.1999999999999999,0.078125,0.140495867768595,0.1999999999999999,0.0454545454545454,-0.0482758620689656,0.0,0.1896551724137931,0.0534351145038167,0.0222222222222221,0.0375939849624058,0.0147058823529411,0.1896551724137931,-0.0071942446043165,-0.0482758620689656,0.121951219512195,0.3398058252427183,0.1039999999999998,-0.3365384615384615,-0.2659574468085106,-0.299492385786802,-0.2886597938144331,-0.188235294117647,0.0222222222222221,0.0615384615384613,-0.0281690140845071,0.2105263157894736,0.1999999999999999,0.2660550458715593,0.3939393939393938,0.3269230769230768,0.3018867924528301,0.314285714285714,0.0615384615384613,0.1311475409836064,0.0454545454545454,0.0615384615384613,-0.0482758620689656,0.0615384615384613
FTUR-L,0.8088311114384622,0.8088311114384622,1.0,2.483484110335531e-07,0.1521306725767417,1.0,2.076443731490622,5.2638212269068274e-08,6.115299369500566e-10,0.1277263363014169,7.277335984095429,5.0,1.026283316880553,0.0968914008881711,2.4796186953119443,0.814035962813586,-0.0120481927710843,0.0506329113924048,0.0641025641025641,0.1066666666666666,-0.0777777777777778,-0.1027027027027027,-0.0726256983240224,-0.0059880239520958,-0.0119047619047618,-0.0404624277456647,-0.0777777777777778,-0.1354166666666666,-0.1263157894736841,-0.0514285714285714,-0.1398963730569948,-0.0674157303370787,-0.0514285714285714,0.0060606060606061,-0.1216931216931217,0.1066666666666666,0.0709677419354837,0.0709677419354837,0.1066666666666666,0.0573248407643312,0.1448275862068966,0.1448275862068966,0.1448275862068966,-0.0514285714285714,-0.3168724279835392,-0.1573604060913705,-0.1658291457286432,-0.0726256983240224,-0.0621468926553673,-0.0292397660818714,-0.0292397660818714,0.2116788321167881,0.2296296296296294,0.1942446043165469,0.177304964539007,0.1448275862068966,0.2028985507246377,0.2028985507246377,0.2481203007518795,0.2028985507246377,0.2205882352941175,0.1066666666666666,0.1857142857142857,-0.1398963730569948,-0.0879120879120879
FTUV-L^G98,0.700656069458498,0.700656069458498,1.0,2.711287023657445e-07,0.1660851852206425,1.0,1.2136818228683368,7.008579226962088e-08,1.36396810850174e-09,0.0638257713537588,5.345119521912351,5.0,0.7257964738632848,0.1366504109402175,4.319999999999999,0.9740118880531072,-0.0425531914893616,-0.0105263157894737,0.0444444444444442,0.0742857142857142,-0.1826086956521738,-0.3285714285714285,-0.3163636363636364,-0.3037037037037038,-0.2851711026615969,-0.2769230769230769,-0.3627118644067797,-0.3517241379310345,-0.3403508771929825,-0.3037037037037038,-0.3517241379310345,-0.3403508771929825,-0.4388059701492538,-0.4388059701492538,-0.4628571428571428,-0.491891891891892,-0.4986666666666667,-0.491891891891892,-0.5091383812010444,-0.5414634146341464,-0.53,-0.4088050314465409,-0.3836065573770492,-0.5116883116883117,-0.6042105263157895,-0.5886214442013129,-0.5868131868131868,-0.5576470588235294,-0.4986666666666667,-0.5052631578947369,-0.5204081632653061,-0.4437869822485207,-0.4031746031746032,-0.3836065573770492,-0.4031746031746032,-0.3285714285714285,-0.3037037037037038,-0.3037037037037038,-0.3403508771929825,-0.3517241379310345,-0.3517241379310345,-0.4215384615384615,-0.4303030303030303,-0.3403508771929825,-0.2326530612244899
FTUZ-L^C00,0.2388042557468375,0.2388042557468375,10.0,6.26199647594545e-07,0.3835908317650001,1.0,2.521084722636763,6.778539847484893e-08,3.011191294235494e-09,0.1530168188599034,1.786082474226804,5.0,2.0236643499765488,0.1385568713852933,5.918279898997628,0.9893049730737576,0.0035714285714285,-0.1540785498489426,0.0606060606060605,0.018181818181818,-0.1304347826086958,-0.1860465116279069,-0.2022792022792022,-0.2112676056338028,-0.2411924119241193,-0.2592592592592593,-0.3220338983050848,-0.3220338983050848,-0.5631825273010921,-0.5447154471544716,-0.5541401273885351,-0.5679012345679013,-0.552,-0.550561797752809,-0.5679012345679013,-0.5364238410596027,-0.5333333333333334,-0.5469255663430421,-0.5087719298245614,-0.4982078853046595,-0.4814814814814815,-0.44,-0.4563106796116505,-0.4343434343434343,-0.631578947368421,-0.6455696202531647,-0.6164383561643836,-0.5483870967741936,-0.4909090909090909,-0.4274028629856851,-0.387308533916849,-0.3220338983050848,-0.2911392405063292,-0.2689295039164491,-0.224376731301939,-0.206798866855524,-0.1764705882352941,-0.1930835734870317,-0.1515151515151515,-0.1054313099041533,-0.1384615384615385,-0.1641791044776119,0.0294117647058822,0.018181818181818,0.1764705882352941
FTVF-L,0.8021789948238437,0.8021789948238437,7.0,6.903511047922537e-07,0.4228880605640477,1.0,1.3471180629955004,1.1130647557219273e-07,1.586663389207793e-09,0.0905450088612193,4.247789566755084,5.0,0.5407113777587315,0.1572649213780362,6.341201716738198,1.0621486960300497,-0.0617283950617284,-0.0689655172413792,-0.1195652173913043,-0.1649484536082474,-0.1980198019801979,-0.1980198019801979,-0.1980198019801979,-0.2135922330097087,-0.2211538461538461,-0.2429906542056075,-0.2429906542056075,-0.2568807339449541,-0.25,-0.2429906542056075,-0.2702702702702703,-0.3135593220338982,-0.2429906542056075,-0.2636363636363636,-0.2767857142857143,-0.2702702702702703,-0.2211538461538461,-0.2135922330097087,-0.1980198019801979,-0.3017241379310343,-0.3414634146341463,-0.2702702702702703,-0.0898876404494382,-0.2956521739130433,-0.4774193548387097,-0.4563758389261745,-0.5317919075144508,-0.4840764331210191,-0.4087591240875913,-0.4172661870503596,-0.3720930232558139,-0.4255319148936169,-0.3909774436090225,-0.4087591240875913,-0.4044117647058823,-0.4295774647887324,-0.4295774647887324,-0.4671052631578947,-0.4452054794520548,-0.4807692307692307,-0.49375,-0.5060975609756098,-0.5290697674418604,-0.5060975609756098,-0.4527027027027026
FTVI-L^I00,1.155847338935574,1.155847338935574,1.0,1.3609559521993467e-06,0.8336801652716592,1.0,3.391804457225018,1.0613744532875409e-07,2.023083199855008e-09,0.0936953216517189,14.789874551971325,5.0,0.1614396117900792,0.1652541632446222,24.39322816467872,1.0963218362065177,-0.0361445783132529,0.0921052631578946,0.0374999999999998,0.0246913580246912,-0.1263157894736841,0.0374999999999998,-0.0235294117647059,-0.1075268817204302,-0.2654867256637168,-0.3897058823529412,-0.3985507246376811,-0.3083333333333333,-0.3360000000000001,-0.1941747572815534,-0.1443298969072165,-0.3759398496240602,-0.3805970149253732,-0.3140495867768595,-0.4907975460122699,-0.5088757396449703,-0.4907975460122699,-0.4939024390243902,-0.4907975460122699,-0.4779874213836478,-0.5029940119760479,-0.4969696969696969,-0.3851851851851853,-0.4429530201342282,-0.5931372549019608,-0.8997584541062802,-0.902122641509434,-0.8864569083447332,-0.8490909090909091,-0.837573385518591,-0.8391472868217055,-0.847985347985348,-0.7655367231638418,-0.7322580645161291,-0.7118055555555556,-0.7137931034482758,-0.7137931034482758,-0.6770428015564203,-0.7056737588652482,-0.6981818181818182,-0.6719367588932806,-0.6925925925925926,-0.7077464788732395,-0.6807692307692308,-0.6925925925925926
FTVJ-L^D08,0.6832504802836149,0.6832504802836149,1.0,3.456013536348504e-07,0.2117048631521092,1.0,2.258833574149481,7.873628936556163e-08,1.152991658865721e-09,0.1897365310079314,2.5721741723829408,5.0,1.5078155786155258,0.231816142379979,5.052359337063232,0.9456824165518782,-0.0487804878048779,-0.0465116279069768,0.0,-0.0238095238095239,-0.098901098901099,-0.1239316239316239,-0.1598360655737705,-0.0827740492170022,-0.0238095238095239,-0.0120481927710844,0.0,0.0199004975124377,0.0933333333333332,0.1781609195402298,0.1714285714285712,0.188405797101449,0.2238805970149251,0.2424242424242424,0.2424242424242424,0.2933753943217665,0.3099041533546325,0.3141025641025639,0.2893081761006286,0.3015873015873014,0.3442622950819671,0.3666666666666665,0.4642857142857142,0.1232876712328765,-0.0465116279069768,-0.0465116279069768,-0.0848214285714287,-0.0238095238095239,0.0789473684210526,0.1714285714285712,0.1388888888888888,0.1714285714285712,0.2615384615384615,0.3666666666666665,0.43859649122807,0.5185185185185184,0.5471698113207546,0.4642857142857142,0.4642857142857142,0.5185185185185184,0.4909090909090907,0.3898305084745761,0.5471698113207546,0.6734693877551017,0.7083333333333333
FTVN-L^J00,1.0006976688238267,1.0006976688238267,1.0,5.823637985211594e-07,0.3567383257443124,1.0,2.30823926110541,1.1130533146436041e-07,1.7779434109434794e-09,0.0996725860028067,4.176305220883534,5.0,1.2491570151004252,0.188502222106713,4.450576606260297,0.8771418512026237,-0.1546666666666667,0.0135135135135133,0.0273972602739727,0.0135135135135133,-0.0625,-0.1134751773049645,-0.0963855421686747,-0.1339491916859122,-0.197002141327623,-0.2105263157894736,-0.21875,-0.2021276595744681,-0.1847826086956521,-0.1477272727272728,-0.21875,-0.2574257425742574,-0.2603550295857988,-0.2236024844720496,-0.2055084745762712,-0.2021276595744681,-0.2138364779874213,-0.1847826086956521,-0.2021276595744681,-0.1900647948164147,-0.127906976744186,-0.0384615384615384,-0.0506329113924051,-0.1071428571428572,-0.1758241758241757,-0.1666666666666666,-0.2424242424242424,-0.1379310344827585,-0.02088772845953,0.0330578512396695,0.0359116022099448,0.1432926829268292,0.0714285714285714,0.271186440677966,0.3786764705882353,0.4705882352941177,0.3888888888888888,0.3636363636363635,0.4705882352941177,0.5306122448979591,0.5306122448979591,0.3888888888888888,0.4423076923076923,0.5625,0.4150943396226416
FTWF-L^D08,0.032728541521284,0.032728541521284,6.0,8.874661413444964e-07,0.5436347283638683,1.0,0.638560687432868,7.494049084790282e-08,3.173245211946255e-07,2.714042192494552,0.5136911281489596,3.0,0.4172932330827068,0.0950910580376835,8.036437246963564,0.840530769461792,-0.069069069069069,-0.059322033898305,-0.0826446280991735,-0.0646067415730337,-0.0512820512820512,-0.1328125,-0.1236842105263157,-0.0118694362017803,0.1212121212121211,0.1100000000000001,0.0537974683544304,-0.2414578587699316,-0.2052505966587112,-0.1439588688946015,-0.1633165829145728,-0.169576059850374,-0.0234604105571847,0.0060422960725075,0.0214723926380369,0.0090909090909092,0.0438871473354232,0.1978417266187051,0.2566037735849058,0.3481781376518218,0.5205479452054795,0.6009615384615385,0.5275229357798163,0.4170212765957446,0.2857142857142858,0.3373493975903614,0.342741935483871,0.2957198443579767,0.3591836734693876,0.3591836734693876,0.5067873303167421,0.3703703703703702,0.5857142857142856,0.6903553299492386,0.5416666666666665,0.5275229357798163,0.7903225806451613,0.7807486631016043,0.8,0.6567164179104479,0.7253886010362696,0.5857142857142856,0.4478260869565218,0.6989795918367347,0.8813559322033899
FTWG-L,0.4837996255189818,0.4837996255189818,1.0,4.100002288167715e-07,0.2511536526726013,1.0,1.4002564958451185,1.0928672211647481e-07,2.1586641499604012e-08,0.2418388608855841,3.0054787592717465,5.0,0.919730855044711,0.1598158168924142,5.1282997375068105,1.110399430060371,-0.0441176470588235,0.0225563909774435,0.0381679389312976,0.0381679389312976,-0.0354609929078012,-0.0144927536231882,-0.0684931506849314,0.0625,0.0381679389312976,0.0225563909774435,0.0461538461538462,0.0967741935483872,0.0303030303030302,0.2142857142857142,0.1826086956521742,0.1147540983606558,0.1147540983606558,0.1239669421487603,0.0074074074074073,0.0225563909774435,0.1623931623931624,0.2142857142857142,0.2592592592592593,0.1826086956521742,0.1056910569105691,0.2363636363636363,0.4315789473684213,0.2710280373831775,-0.7878315132605305,-0.7667238421955402,-0.7799352750809061,-0.7457943925233644,-0.71900826446281,-0.6822429906542056,-0.5940298507462687,-0.6023391812865497,-0.5310344827586206,-0.4471544715447154,-0.4728682170542635,-0.478927203065134,-0.3523809523809523,-0.3674418604651162,-0.3025641025641025,-0.2842105263157893,-0.2444444444444444,-0.2568306010928961,-0.15,-0.165644171779141,-0.1856287425149699
FTWQ-L^E99,0.3517460317460318,0.3517460317460318,4.0,6.485202521421369e-07,0.3972637542854741,1.0,2.260185445349818,8.495834972767627e-08,1.2934256849906242e-09,0.1531331195889026,2.0395547945205483,5.0,1.9598201742062376,0.1281222199411482,4.578809502303315,0.8383145678673998,-0.0901639344262295,-0.026595744680851,-0.0317460317460316,-0.0368421052631577,-0.0827067669172932,-0.0393700787401574,-0.0187667560321715,0.0578034682080925,0.0925373134328357,0.0427350427350428,0.011049723756906,0.0082644628099173,0.0517241379310344,0.14375,0.1226993865030676,0.0925373134328357,0.1921824104234528,0.2577319587628865,0.2079207920792081,0.2448979591836735,0.2620689655172414,0.3605947955390336,0.4022988505747127,0.3357664233576642,0.3357664233576642,0.3357664233576642,0.3260869565217392,0.2842105263157894,0.0194986072423399,0.0309859154929579,0.0054945054945054,0.0639534883720931,0.302491103202847,0.4878048780487805,0.469879518072289,0.4466403162055337,0.7183098591549297,0.7941176470588236,0.8391959798994975,0.9891304347826086,1.0333333333333332,0.9263157894736844,1.1279069767441865,1.0333333333333332,0.967741935483871,0.9062500000000002,0.8118811881188119,0.8118811881188119,1.1279069767441865
FTWV-L,0.1044949625419788,0.1044949625419788,1.0,1.5769100875483853e-07,0.0965967091206286,1.0,1.4531024531024532,8.624944795157563e-08,2.538058651305851e-07,2.5725591262175027,0.8122489959839362,4.0,0.9975949975949976,0.2232848997608975,3.9537861915367487,0.6688251203761365,-0.040983606557377,-0.0757575757575758,-0.1159420289855072,-0.1029411764705883,-0.1285714285714285,-0.1223021582733812,-0.1347517730496453,-0.0615384615384615,-0.0895522388059701,-0.1756756756756756,-0.1347517730496453,-0.0895522388059701,-0.0827067669172932,0.0517241379310344,0.0338983050847458,-0.0542635658914729,-0.008130081300813,0.1090909090909089,-0.0615384615384615,-0.1159420289855072,0.0252100840336135,-0.0317460317460317,-0.0161290322580645,-0.1159420289855072,-0.1408450704225351,-0.0895522388059701,-0.0615384615384615,-0.1643835616438356,-0.3578947368421052,-0.2988505747126436,-0.3146067415730337,-0.3222222222222223,-0.2823529411764706,-0.2515337423312883,-0.2179487179487179,-0.2560975609756097,-0.1223021582733812,-0.024,0.0082644628099173,0.0166666666666666,0.0796460176991151,-0.0615384615384615,-0.008130081300813,0.0166666666666666,0.0252100840336135,-0.5040650406504066,-0.512,-0.4577777777777778,-0.4048780487804877
