Momentum Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
CDFF-L,0.0,-1.205097113779759,-0.39824846929549484,0.05516230855994665,0.3742696139852329,-0.5609442771765824,-0.14506901788932286,-0.5171568374668708,0.3627187787423649,0.03800424079123313,0.10939534438823821,0.03441781419159538,0.030799875271605076,0.15547191606817143,-0.19184220371526353,0.017283599986664476,-0.03173089316639992,0.02392331735393533
PZC-L,0.0469973890339425,5.767432231987768,-4.290507091042761,-1.3287866669184412,-1.1668870594850047,0.5087061288015707,-0.22716176026320267,0.1634537037529121,-0.4734118818268774,-0.24112727958450264,0.1066189775311349,-0.19759579561762133,-0.01772352937696971,-0.38535300526495314,0.4088214408737637,0.153802059073521,-0.1009299666600414,-0.4359029003244273
AJIT-L,0.0775127768313457,1.1825864256684666,-1.753889570463938,-0.638820746057661,-0.5600599653634173,0.2293504674968431,-0.033807069369514664,-0.012387410023156558,-0.17086985617388675,0.007835308289159907,0.056427852149456566,-0.06413989937272717,0.06940449075879644,-0.02761341153327812,0.08241215215578303,0.18992334417220486,-0.0645603876104477,0.03877121299691016
BIPS-L,-0.0042796005706133,-0.14523364768162958,-0.7384197692102106,0.04309732329300185,-0.22476517187327827,-0.3578757862161786,-0.02924163030565202,0.08747326123937152,0.1707438004070394,-0.08941394966765934,0.14708160170042953,0.04774107789235756,-0.08346027546298956,-0.030942428743469995,-0.0028150346164107247,-0.009598126915691611,-0.03444534249033062,-0.13502079220023472
PHARP-L,0.1035589264877481,-2.1823957945855033,-0.8527670395740212,0.09998197358473823,-0.9866339296180795,0.20052449306280876,0.30346281403976466,-0.2818624191674831,-0.2459187530733171,0.1864376292014883,-0.17652808625782535,-0.09728655401413161,0.5065137661965504,-0.3478299030813386,-0.6603027000574141,0.09504172390990116,0.15360405234135852,0.05948458691214941
GPEG-L,0.0770603986908657,-0.7764765686665408,0.1872990317617585,0.5951842207271001,0.3005422937927633,-0.2310491031808893,-0.32690800278908017,-0.21517043314019582,-0.0584832073866556,-0.11332098690033705,0.12675871759816082,-0.13458577557170934,0.18365731057071064,0.09565074583943145,-0.021063081733071497,-0.2286178120428755,-0.08067128286104097,-0.045584681085538474
PRIMP-L,-0.1735537190082644,-1.278622321417267,6.406698889373422,-2.1291872408080534,0.5448883008008942,-1.9074016109188419,-2.596137595826321,4.306663310845518,-0.8130756166498094,2.345056584452142,3.274536859247586,3.0387059719421607,4.120303721836274,0.24340866760341204,0.8922086004417966,-0.3726934481415818,0.7144155560692645,0.4597521648485605
IPU-L,0.084648493543759,-0.5125053254197895,-0.42214100294041224,-0.20617390223412763,-0.12664369200408654,0.023930663133709423,-0.09467948562544672,-0.07288292806633459,0.002990567701397651,-0.036206804080476045,0.00501634420118718,0.0407894301524254,-0.07614783775596744,0.038654094939070835,-0.0040926984098264545,-0.024531301201942565,-0.006581292969870125,0.03409149014908877
HOCM-L,0.1199294532627865,5.702141136120292,0.5709583735102686,-1.2742161542096173,-0.20445172289914326,0.4294456563632762,0.990153330173702,0.39294540912574505,-1.9244558816485202,-0.5312775697089523,-0.5989279243400302,0.8031388106898654,0.036538215490303776,-0.1506166443929958,0.17049961130292854,-0.9005645734160086,0.7386371218714004,-0.39324240381396947
PSON-L,0.0588235294117647,0.6359932251885614,-1.966111758857736,-0.3525434386579872,-0.07610750213378656,-0.0534732680110873,-0.21150762588276692,-0.5112181493479339,0.2013621670084833,0.17804023448104184,0.17805974161786098,-0.12987506470283455,0.13075183037993787,0.07783300278225311,-0.06096880248799347,-0.024682305878852114,-0.1627576556155109,0.04723012516478015
HRN-L,-0.0936507936507936,-1.4569211332336445,0.5724034751231774,0.41672958149674855,0.12367598858919006,-0.9393001143200633,0.02037482243894507,0.21632338047949812,-0.026205951749444397,-0.128743939178359,0.14294857948892345,-0.22754648442569145,0.11256734515129514,-0.30054792596350494,-0.18076866908875033,-0.0986047859558356,0.000620572693626752,-0.26408473755076545
ALAPH-L,-0.0390625,15.255727895308311,-10.70002136596274,1.1429804330089421,3.0698351764099203,0.33271053883312607,0.4616979739822896,0.07913248656527998,-3.1142392402834616,-1.5010138458637166,1.252652249388735,-0.5488314762586214,-0.30522883944694484,2.832833276581725,0.753386398963792,-0.44589736618684805,0.2092352914698734,-0.7033809354279082
IBT-L,0.0711678832116788,-0.9099938350179335,-0.9927968297357884,-0.4585586870287962,-0.10937300031103969,-0.10348071658908772,-0.28115363050108544,-0.4260191848503102,0.42429390210924445,-0.08855302447532529,0.10054368301789995,0.031125848855891758,0.05429503854310493,0.0678875592190315,-0.008433320155349382,0.08368958837495068,-0.08260843658116254,-0.0015814947490821356
