Momentum Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CCC-L,0.1194029850746267,2.6704663204757084,1.2188727414324338,0.2875335855800155,-0.7635540492244267,-0.23920080910254232,0.35382862779331664,0.16169080214886034,-0.013212323015803898,0.08058501581916887,0.31142179971621503,-0.052636148122999445,0.1092970883149427,0.06941458706391382,0.017579527428021532,0.17552978876269626,0.011113267703545426
SLPL-L,0.1416666666666666,12.220988715316354,2.9478050448010764,0.2290252271041532,-0.5778645614469611,1.7658592268654705,0.06685780928057841,0.025649947627955815,0.0386338026065881,-0.6605560584409867,-0.47244884509047813,0.51841126810044,-0.31384011895032626,0.16804029134137932,-0.4024124201070805,0.18799081319269265,0.7946940736049503
SRC-L,-0.0827740492170022,2.114049788475996,-0.23168949486303025,-1.0202013468881006,0.12484295714803927,0.4848952580827353,0.06861416719878319,-0.3121933975664492,-0.5357391685666625,-0.19545559386518493,-0.21365085955749916,0.3010655192722601,-0.2913096524292163,0.05057054483571393,-0.33421236015846933,0.04600274091792517,-0.05410221354314503
CNKS-L,0.043010752688172,-4.0908891723989305,-0.7776899866643682,1.019830243143181,0.012646293226327857,-0.1311685610036145,-0.20424440634730676,0.018500305609521855,0.09230136442807144,0.26632024829453227,-0.08022593933164332,-0.16828505217596287,-0.12924763778363887,0.15327841024694294,-0.04276302760294247,0.11638895359831077,0.1401787630829509
BWS_p-L,-0.01171875,-0.7813631533031322,0.3586654006204857,-0.07033539515954926,-0.10164500122142736,-0.027944218987512884,0.1455436028181022,0.07267236134826968,-0.016955518660477776,0.13047526563724007,-0.08123255136342405,-0.017795196614900283,-0.06991237827276729,-0.01986207350032767,-0.006465981997926036,-0.014289483665303705,0.03469857548979449
ERGO-L,0.1443661971830985,3.4791314871784107,2.5111741188730727,-0.23588783418752007,0.6335945595658676,-0.20547207979705487,0.9424655707432885,0.33179673152736805,-0.01639195972552121,-0.7582133577170025,-0.14222372458609334,0.08816374481694624,-0.270688489343082,-0.4785327259831509,0.3245425910103399,0.09421190497376301,-0.0317584375309306
MVCT-L,-0.018181818181818,-1.1526627624867558,0.5639890164152872,-0.16982857697613224,-0.23495327421592377,0.05280607079739837,-0.08555803027243382,0.03134521053739654,0.11335529660375104,-0.008734088850947678,-0.10227731579300418,-0.005883800326293487,-0.008807192924448249,-0.06319963064120397,0.06084892202830645,-0.05053813334750376,0.02758038076023582
CVCG-L,-0.019047619047619,-0.720369344515596,0.31637502362203496,0.09817597737193692,-0.07397724360192591,0.028198207916185245,-0.08908842320052512,-0.05559036132887321,0.003037785058238555,0.03472595072533507,-0.046208858756810293,0.00755853215701281,0.018222277909821342,-0.008325499773862478,-0.028562106429540893,-0.06078881178663155,0.0229145902140905
ACCS-L,-0.1101511879049675,2.973503598474219,1.7400858655005573,-0.28718883357364466,-0.501772325328226,0.24085407432312478,-0.4258905634636345,-0.11026034336450538,-0.07307790131036984,0.38360469398847186,0.05421922551496873,0.08074238770948115,-0.06222250415987649,-0.045900875553573806,-0.2667809089290081,-0.12908378560495765,-0.0860461990397799
TERNT-L,0.0444444444444445,0.054412317416360614,3.886849395967599,-0.4172920255663946,-1.3601895695762125,0.47902570515642695,-3.6641118020020946,-0.4290161974303036,0.6533442896859094,-2.312681998015538,3.3254020532893143,0.3517262178378784,-0.3561629425449089,-0.1420278940409974,-0.19222027690383572,0.02982507182442286,0.48654787982029724
GV1O-L,0.0,-0.6923172490483259,0.575624673360927,-0.05012684240086843,-0.3684537791758437,-0.049902336403166776,-0.09706684641618567,0.09329571806852287,0.020884462890146643,0.09810564622522329,-0.0341949393705271,-0.016927097779033947,-0.012873003639510496,-0.053846443982324084,0.013364516197882467,-0.004511499705888249,0.02117035242572326
NWB_pa-L,0.0208945478289257,-0.3202787389582762,0.4910381773031136,-0.02750757498454237,-0.16825025298434665,-0.026558782112521107,0.23189512611760668,0.08954535980082583,-0.010326098326914647,0.14566357461690163,-0.041254058232538984,-0.0219424893537573,-0.018590686186718726,-0.06335456642392367,-0.06010290966878961,0.00908156592811521,0.03124251103414035
ASPL-L,0.0,-0.6428571487992022,0.2971250419433964,0.19336651932244045,-0.011920218531008286,0.31171376946391144,-0.18365155874246095,-0.10077687219439128,-0.028356024273511308,0.011035250195718696,-0.09291097018502778,0.13101352342348824,-0.027875291810229325,0.015810386435672365,0.07995593531497835,-0.009564468992242734,-0.019663173629622683
ECOB-L,-0.1249999999999998,-2.7436756316090483,0.4133385132925595,0.5505789398064282,-0.04124426204636719,0.17064483433420813,0.060416369142323526,0.10801483661660213,0.16133825883593086,0.13169579940207474,-0.32545736614699533,-0.010472881300523746,-0.21489252759958383,-0.08998830524261785,-0.04121244362925172,-0.09400898275571017,0.02896445865144738
HASE-L,0.1153846153846154,-1.0711429167981734,-0.358769985518115,1.0368223496657143,0.49357461169920536,0.22837588487580507,-0.14572146055657667,-0.3833401981173487,-0.15435297637905018,-0.07934932866667428,-0.1290019552774539,0.1768117271034616,0.0009575543379638309,0.07704338906886236,-0.07664643541935028,0.09048042758608735,-0.008274083146209369
BRK-L,-0.0351758793969849,-0.3857930659617324,0.6526107063064218,-0.26840209546296007,0.13142707781103496,-0.14317780813231928,0.27855891557803814,0.02195410208835165,0.06258243922655876,-0.14553581975906169,0.1483910267822791,0.020095149518635114,-0.11749801407376395,0.028421010547658075,-0.08763087283609562,0.021005507988348802,-0.06442205930254263
ANIC-L,0.1896551724137931,0.4341348373537673,3.2680487129228992,-1.4386674759694553,0.683494630082348,0.3480097130838971,1.237954234159122,0.12370194933433994,0.20067138519060676,-0.5373761034524139,-0.01581523738609836,0.47170056273574373,-0.18960697730563006,-0.2711856550860296,0.04614314358975819,0.1403168731654677,0.03643654047462636
NIOX-L,0.1408045977011496,-5.5102087143093925,-1.753580718896196,1.289403566499659,0.055664901346630956,-0.16966723137185996,-0.47236932767116324,-0.12041805368215636,0.02760516229808802,0.17798682260279547,-0.12795182326134824,-0.08076328665644429,0.06569901315814951,0.21460994831446228,0.0458875138780903,0.12261998015316586,-0.03335773283942995
ANTO-L,-0.0493046776232617,2.914549318946102,-0.17034276821179295,-0.12512373599981308,0.6205236509866537,0.46110778270892055,0.167739481338887,-0.11655749184632731,-0.4409084885190099,-0.3517045883369983,-0.11449397997884064,-0.06924041503040462,-0.03242689229156874,-0.23560949128425665,0.28366236350793583,0.1598667206285281,0.011607142169694362
FEVR-L,0.0571428571428571,10.072305583869188,-3.7130089633548278,-1.882727895371564,-0.556545757180338,-2.0199954489344973,-0.1765865661568036,-0.9650988403800517,-0.12222709897790478,-0.15776586959663516,0.055855929915261,-0.03998677916487969,-0.3849986994088645,0.36301999631623105,-0.7303190821487872,0.1471376109502217,-0.05364832006417199
