Momentum Index,0,1,2,3
CTID-L,-0.2058823529411764,-7.409988960793869,-0.9280945671044493,-0.5184536239833415
BGFD-L,-0.049448123620309,4.30173166798431,0.994963304586681,-1.4246494008811619
HWC-L,0.2857142857142858,-4.2865073215898075,-1.763331705935262,-0.6032857386480023
INCH-L,0.0184501845018449,-5.684455087255318,-0.5979177579442567,-0.8192809423275138
FSV-L,0.0,-0.09995720819601066,0.4834576534250817,0.5051508098109949
TRFT-L,-0.081967213114754,3.502260070350411,0.09699595521559752,0.9530703426479415
JDW-L,0.0080906148867314,-2.324005050020987,-0.37529085731136,-0.4387850635749547
BOY-L,0.0803571428571428,-6.285883314704976,-2.072501893911065,-0.2620122503000357
CRGT-L,-0.0588235294117647,-6.443954601940446,-0.2533948300537976,-1.0179323104769529
RIICi-L,0.0,-1.2925996799448387,-1.2574989489660078,0.5736527740943138
